symbol;N;DailyNeutral;DailyUp;DailyDown;DailyStrongUp;DailyStrongDown;DailyExplosiveUp;DailyExplosiveDown
AUDUSD;5248;0.2038;0.3546;-0.3386;0.6204;-0.6391;0.9400;-0.9658
BRENT_OIL;4728;0.6181;1.3056;-0.9982;2.7486;-2.1270;6.5153;-4.1484
BTCEUR;7369;0.6434;1.1770;-1.3086;2.2380;-2.6936;4.1024;-4.5190
BTCJPY;7369;0.6562;1.2597;-1.2721;2.3196;-2.7356;4.2242;-4.6602
BTCUSD;7367;0.6496;1.1732;-1.3576;2.2137;-2.6870;4.4146;-4.5319
CrudeOIL;4989;0.6252;1.2430;-1.0778;2.5809;-2.2505;6.4372;-4.4820
ETHUSD;7369;1.0179;1.8758;-1.9905;3.9440;-4.2636;7.4476;-6.5518
EURUSD;5249;0.1270;0.2116;-0.2380;0.4495;-0.4829;0.8214;-0.7340
FRANCE_40;3017;0.3519;0.6334;-0.5204;1.0186;-0.9830;1.5745;-1.9098
GASOLINE;2424;0.6318;1.4458;-0.9826;2.9001;-2.1415;5.2170;-4.2579
GBPUSD;5249;0.1370;0.2312;-0.2592;0.4897;-0.5239;0.7498;-0.8484
GERMANY_40;4399;0.2614;0.4550;-0.5609;0.9592;-1.1170;1.5974;-2.0269
GOLD;4997;0.4555;0.9299;-0.6246;1.6465;-1.6251;2.8847;-4.4236
ITALY_40;642;0.6720;1.2504;-0.9067;2.0446;-1.7481;4.2621;-2.9764
JAPAN_225;5033;0.5701;1.0757;-0.8336;1.8562;-1.6617;3.0478;-2.8949
NZDUSD;5250;0.2127;0.3174;-0.3931;0.6157;-0.7279;1.0578;-1.0586
SILVER;4985;0.9148;2.1313;-1.1599;3.9166;-3.7643;6.6566;-9.2521
UK_100;4301;0.1944;0.4259;-0.2997;0.8589;-0.6811;1.4977;-1.3906
USDCAD;5248;0.0859;0.1709;-0.1318;0.2980;-0.2904;0.4636;-0.5425
USDCHF;5249;0.1448;0.2858;-0.2394;0.5265;-0.5550;0.9107;-0.9688
USDJPY;5251;0.2017;0.3744;-0.3128;0.6795;-0.5795;1.0254;-1.0071
US_30;4929;0.1823;0.3460;-0.3441;0.8029;-0.7580;1.4673;-1.3565
US_500;4998;0.1984;0.3794;-0.3435;0.7875;-0.7914;1.3441;-1.4487
US_TECH100;5003;0.2700;0.5243;-0.4625;1.0607;-1.0825;1.7688;-1.8769
WHEAT;4079;0.3883;0.6523;-0.6922;1.4551;-1.3868;2.6047;-2.2564
