Actif;Creneau;EXTREME_LOW %;LOW %;MEDIUM %;HIGH %;EXTREME_HIGH %;n
AUDUSD;08:00-08:30;6,67;20,00;53,33;20,00;0,00;15
AUDUSD;08:30-09:00;14,29;23,81;38,10;23,81;0,00;21
AUDUSD;09:00-09:30;8,70;26,09;39,13;26,09;0,00;23
AUDUSD;09:30-10:00;8,33;29,17;37,50;25,00;0,00;24
AUDUSD;10:00-10:30;8,33;29,17;41,67;20,83;0,00;24
AUDUSD;10:30-11:00;8,33;29,17;41,67;20,83;0,00;24
AUDUSD;11:00-11:30;8,33;25,00;45,83;20,83;0,00;24
AUDUSD;11:30-12:00;8,33;25,00;45,83;20,83;0,00;24
AUDUSD;12:00-12:30;8,33;20,83;45,83;25,00;0,00;24
AUDUSD;12:30-13:00;8,33;20,83;45,83;25,00;0,00;24
AUDUSD;13:00-13:30;8,33;29,17;37,50;25,00;0,00;24
AUDUSD;13:30-14:00;8,33;29,17;37,50;25,00;0,00;24
AUDUSD;14:00-14:30;12,50;33,33;25,00;29,17;0,00;24
AUDUSD;14:30-15:00;13,04;34,78;21,74;30,43;0,00;23
AUDUSD;15:00-15:30;17,39;39,13;13,04;30,43;0,00;23
AUDUSD;15:30-16:00;17,39;39,13;13,04;30,43;0,00;23
AUDUSD;16:00-16:30;8,70;47,83;17,39;26,09;0,00;23
AUDUSD;16:30-17:00;8,70;47,83;17,39;26,09;0,00;23
AUDUSD;17:00-17:30;9,09;36,36;27,27;27,27;0,00;22
AUDUSD;17:30-18:00;10,53;36,84;26,32;26,32;0,00;19
AUDUSD;18:00-18:30;11,11;38,89;22,22;27,78;0,00;18
AUDUSD;18:30-19:00;11,76;35,29;23,53;29,41;0,00;17
AUDUSD;TOTAL;10,20;31,63;32,65;25,51;0,00;490
BRENT_OIL;08:00-08:30;6,67;20,00;33,33;26,67;13,33;15
BRENT_OIL;08:30-09:00;14,29;19,05;28,57;28,57;9,52;21
BRENT_OIL;09:00-09:30;8,70;17,39;34,78;34,78;4,35;23
BRENT_OIL;09:30-10:00;8,33;16,67;33,33;37,50;4,17;24
BRENT_OIL;10:00-10:30;8,33;20,83;29,17;37,50;4,17;24
BRENT_OIL;10:30-11:00;8,33;20,83;29,17;37,50;4,17;24
BRENT_OIL;11:00-11:30;4,17;37,50;25,00;25,00;8,33;24
BRENT_OIL;11:30-12:00;4,17;37,50;25,00;25,00;8,33;24
BRENT_OIL;12:00-12:30;8,33;29,17;25,00;29,17;8,33;24
BRENT_OIL;12:30-13:00;8,33;29,17;25,00;29,17;8,33;24
BRENT_OIL;13:00-13:30;8,33;20,83;33,33;29,17;8,33;24
BRENT_OIL;13:30-14:00;8,33;20,83;33,33;29,17;8,33;24
BRENT_OIL;14:00-14:30;8,33;29,17;25,00;37,50;0,00;24
BRENT_OIL;14:30-15:00;8,70;30,43;26,09;34,78;0,00;23
BRENT_OIL;15:00-15:30;4,35;39,13;13,04;43,48;0,00;23
