Actif;Creneau;EXTREME_DOWN %;STRONG_DOWN %;SOFT_DOWN %;NEUTRE %;SOFT_UP %;STRONG_UP %;EXTREME_UP %;n
AUDUSD;08:00-08:30;0,00;3,33;10,00;70,00;16,67;0,00;0,00;30
AUDUSD;08:30-09:00;0,00;3,33;10,00;66,67;20,00;0,00;0,00;30
AUDUSD;09:00-09:30;0,00;3,33;10,00;73,33;13,33;0,00;0,00;30
AUDUSD;09:30-10:00;0,00;0,00;20,00;63,33;16,67;0,00;0,00;30
AUDUSD;10:00-10:30;0,00;3,33;13,33;66,67;16,67;0,00;0,00;30
AUDUSD;10:30-11:00;0,00;3,33;13,33;70,00;13,33;0,00;0,00;30
AUDUSD;11:00-11:30;0,00;3,33;13,33;70,00;13,33;0,00;0,00;30
AUDUSD;11:30-12:00;0,00;3,33;10,00;70,00;16,67;0,00;0,00;30
AUDUSD;12:00-12:30;0,00;3,33;10,00;73,33;13,33;0,00;0,00;30
AUDUSD;12:30-13:00;0,00;3,33;13,33;66,67;13,33;3,33;0,00;30
AUDUSD;13:00-13:30;0,00;3,33;6,67;73,33;13,33;3,33;0,00;30
AUDUSD;13:30-14:00;0,00;3,33;6,67;73,33;6,67;10,00;0,00;30
AUDUSD;14:00-14:30;0,00;3,33;10,00;66,67;10,00;10,00;0,00;30
AUDUSD;14:30-15:00;0,00;6,67;6,67;60,00;13,33;10,00;3,33;30
AUDUSD;15:00-15:30;3,33;3,33;3,33;60,00;20,00;6,67;3,33;30
AUDUSD;15:30-16:00;3,33;3,33;6,67;56,67;20,00;10,00;0,00;30
AUDUSD;16:00-16:30;3,33;3,33;3,33;60,00;23,33;3,33;3,33;30
AUDUSD;16:30-17:00;3,33;3,33;3,33;66,67;16,67;3,33;3,33;30
AUDUSD;17:00-17:30;3,33;3,33;3,33;63,33;20,00;6,67;0,00;30
AUDUSD;17:30-18:00;3,33;3,33;10,00;56,67;16,67;6,67;3,33;30
AUDUSD;18:00-18:30;3,33;0,00;13,33;56,67;13,33;10,00;3,33;30
AUDUSD;18:30-19:00;3,33;0,00;13,33;56,67;16,67;6,67;3,33;30
AUDUSD;TOTAL;1,21;3,03;9,55;65,45;15,61;4,09;1,06;660
BRENT_OIL;08:00-08:30;0,00;20,00;10,00;53,33;0,00;16,67;0,00;30
BRENT_OIL;08:30-09:00;0,00;26,67;3,33;50,00;6,67;10,00;3,33;30
BRENT_OIL;09:00-09:30;3,33;20,00;10,00;46,67;6,67;10,00;3,33;30
BRENT_OIL;09:30-10:00;0,00;16,67;13,33;46,67;6,67;13,33;3,33;30
BRENT_OIL;10:00-10:30;0,00;16,67;13,33;53,33;0,00;13,33;3,33;30
BRENT_OIL;10:30-11:00;0,00;13,33;13,33;50,00;6,67;13,33;3,33;30
BRENT_OIL;11:00-11:30;0,00;16,67;10,00;46,67;10,00;16,67;0,00;30
BRENT_OIL;11:30-12:00;3,33;13,33;6,67;50,00;6,67;20,00;0,00;30
BRENT_OIL;12:00-12:30;0,00;16,67;3,33;50,00;13,33;10,00;6,67;30
BRENT_OIL;12:30-13:00;0,00;16,67;6,67;53,33;3,33;13,33;6,67;30
BRENT_OIL;13:00-13:30;6,67;10,00;13,33;40,00;6,67;16,67;6,67;30
BRENT_OIL;13:30-14:00;6,67;13,33;10,00;43,33;0,00;20,00;6,67;30
BRENT_OIL;14:00-14:30;6,67;13,33;10,00;36,67;10,00;13,33;10,00;30
BRENT_OIL;14:30-15:00;6,67;16,67;10,00;36,67;10,00;10,00;10,00;30
BRENT_OIL;15:00-15:30;13,33;13,33;10,00;33,33;10,00;10,00;10,00;30
BRENT_OIL;15:30-16:00;13,33;13,33;3,33;33,33;16,67;10,00;10,00;30
BRENT_OIL;16:00-16:30;13,33;13,33;6,67;26,67;13,33;16,67;10,00;30
BRENT_OIL;16:30-17:00;13,33;13,33;6,67;30,00;10,00;16,67;10,00;30
BRENT_OIL;17:00-17:30;16,67;10,00;6,67;30,00;6,67;23,33;6,67;30
BRENT_OIL;17:30-18:00;13,33;10,00;10,00;30,00;6,67;20,00;10,00;30
BRENT_OIL;18:00-18:30;14,29;10,71;10,71;28,57;3,57;21,43;10,71;28
BRENT_OIL;18:30-19:00;20,00;6,67;6,67;30,00;6,67;16,67;13,33;30
BRENT_OIL;TOTAL;6,84;14,59;8,81;40,88;7,29;15,05;6,53;658
BTCUSD;08:00-08:30;0,00;3,33;13,33;73,33;10,00;0,00;0,00;30
BTCUSD;08:30-09:00;0,00;3,33;13,33;73,33;10,00;0,00;0,00;30
BTCUSD;09:00-09:30;0,00;0,00;20,00;70,00;10,00;0,00;0,00;30
BTCUSD;09:30-10:00;0,00;3,33;16,67;66,67;13,33;0,00;0,00;30
BTCUSD;10:00-10:30;0,00;3,33;6,67;76,67;13,33;0,00;0,00;30
BTCUSD;10:30-11:00;0,00;3,33;13,33;70,00;13,33;0,00;0,00;30
BTCUSD;11:00-11:30;0,00;0,00;13,33;73,33;13,33;0,00;0,00;30
BTCUSD;11:30-12:00;0,00;0,00;16,67;66,67;16,67;0,00;0,00;30
BTCUSD;12:00-12:30;0,00;6,67;10,00;63,33;16,67;3,33;0,00;30
BTCUSD;12:30-13:00;0,00;10,00;13,33;56,67;10,00;10,00;0,00;30
BTCUSD;13:00-13:30;0,00;13,33;23,33;43,33;10,00;10,00;0,00;30
BTCUSD;13:30-14:00;3,33;6,67;23,33;43,33;16,67;6,67;0,00;30
BTCUSD;14:00-14:30;0,00;6,67;30,00;40,00;13,33;10,00;0,00;30
BTCUSD;14:30-15:00;0,00;13,33;16,67;53,33;6,67;10,00;0,00;30
BTCUSD;15:00-15:30;0,00;16,67;13,33;50,00;6,67;13,33;0,00;30
BTCUSD;15:30-16:00;0,00;13,33;16,67;46,67;13,33;10,00;0,00;30
BTCUSD;16:00-16:30;0,00;6,67;20,00;53,33;13,33;6,67;0,00;30
BTCUSD;16:30-17:00;3,33;6,67;16,67;50,00;16,67;6,67;0,00;30
BTCUSD;17:00-17:30;3,33;10,00;13,33;50,00;13,33;10,00;0,00;30
BTCUSD;17:30-18:00;3,33;10,00;13,33;43,33;20,00;10,00;0,00;30
BTCUSD;18:00-18:30;3,33;10,00;13,33;46,67;16,67;10,00;0,00;30
BTCUSD;18:30-19:00;3,33;13,33;10,00;53,33;10,00;10,00;0,00;30
BTCUSD;TOTAL;0,91;7,27;15,76;57,42;12,88;5,76;0,00;660
COCOA;08:00-08:30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0
COCOA;08:30-09:00;0,00;0,00;6,67;80,00;13,33;0,00;0,00;30
COCOA;09:00-09:30;0,00;0,00;10,71;71,43;14,29;3,57;0,00;28
COCOA;09:30-10:00;0,00;0,00;14,29;67,86;14,29;3,57;0,00;28
COCOA;10:00-10:30;0,00;7,14;7,14;71,43;7,14;7,14;0,00;28
COCOA;10:30-11:00;3,57;3,57;7,14;64,29;14,29;7,14;0,00;28
COCOA;11:00-11:30;0,00;7,14;14,29;57,14;14,29;3,57;3,57;28
COCOA;11:30-12:00;3,57;7,14;10,71;53,57;14,29;7,14;3,57;28
COCOA;12:00-12:30;7,14;7,14;7,14;50,00;10,71;17,86;0,00;28
COCOA;12:30-13:00;3,57;7,14;14,29;42,86;10,71;17,86;3,57;28
COCOA;13:00-13:30;10,34;0,00;13,79;44,83;10,34;13,79;6,90;29
COCOA;13:30-14:00;7,14;7,14;10,71;42,86;14,29;10,71;7,14;28
COCOA;14:00-14:30;3,57;3,57;17,86;39,29;14,29;10,71;10,71;28
COCOA;14:30-15:00;3,57;3,57;17,86;39,29;14,29;10,71;10,71;28
COCOA;15:00-15:30;3,57;0,00;25,00;39,29;10,71;7,14;14,29;28
COCOA;15:30-16:00;3,57;10,71;7,14;42,86;17,86;7,14;10,71;28
COCOA;16:00-16:30;3,57;10,71;7,14;42,86;17,86;7,14;10,71;28
COCOA;16:30-17:00;3,57;7,14;10,71;42,86;21,43;3,57;10,71;28
COCOA;17:00-17:30;7,14;3,57;10,71;39,29;21,43;10,71;7,14;28
COCOA;17:30-18:00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0
COCOA;18:00-18:30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0
COCOA;18:30-19:00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0
COCOA;TOTAL;3,55;4,73;11,83;51,87;14,20;8,28;5,52;507
CrudeOIL;08:00-08:30;0,00;20,00;10,00;53,33;10,00;6,67;0,00;30
CrudeOIL;08:30-09:00;0,00;20,00;10,00;53,33;6,67;10,00;0,00;30
CrudeOIL;09:00-09:30;0,00;20,00;20,00;46,67;0,00;10,00;3,33;30
CrudeOIL;09:30-10:00;0,00;16,67;6,67;56,67;10,00;6,67;3,33;30
CrudeOIL;10:00-10:30;0,00;13,33;6,67;63,33;3,33;13,33;0,00;30
CrudeOIL;10:30-11:00;0,00;13,33;10,00;56,67;6,67;13,33;0,00;30
CrudeOIL;11:00-11:30;0,00;13,33;6,67;56,67;13,33;10,00;0,00;30
CrudeOIL;11:30-12:00;3,33;10,00;13,33;50,00;13,33;10,00;0,00;30
CrudeOIL;12:00-12:30;3,33;13,33;6,67;50,00;16,67;10,00;0,00;30
CrudeOIL;12:30-13:00;3,33;13,33;10,00;46,67;13,33;13,33;0,00;30
CrudeOIL;13:00-13:30;3,33;10,00;13,33;43,33;13,33;16,67;0,00;30
CrudeOIL;13:30-14:00;6,67;13,33;6,67;43,33;13,33;13,33;3,33;30
CrudeOIL;14:00-14:30;3,33;16,67;13,33;36,67;6,67;16,67;6,67;30
CrudeOIL;14:30-15:00;6,67;16,67;10,00;40,00;6,67;10,00;10,00;30
CrudeOIL;15:00-15:30;10,00;16,67;10,00;36,67;6,67;13,33;6,67;30
CrudeOIL;15:30-16:00;10,00;16,67;13,33;26,67;13,33;10,00;10,00;30
CrudeOIL;16:00-16:30;10,00;16,67;6,67;33,33;10,00;20,00;3,33;30
CrudeOIL;16:30-17:00;10,00;16,67;13,33;26,67;6,67;23,33;3,33;30
CrudeOIL;17:00-17:30;3,33;26,67;10,00;26,67;6,67;23,33;3,33;30
CrudeOIL;17:30-18:00;3,57;25,00;14,29;21,43;7,14;21,43;7,14;28
CrudeOIL;18:00-18:30;3,57;21,43;14,29;25,00;7,14;21,43;7,14;28
CrudeOIL;18:30-19:00;3,33;23,33;10,00;33,33;3,33;16,67;10,00;30
CrudeOIL;TOTAL;3,81;16,92;10,67;42,23;8,84;14,02;3,51;656
ETHUSD;08:00-08:30;0,00;3,33;6,67;80,00;10,00;0,00;0,00;30
ETHUSD;08:30-09:00;0,00;3,33;3,33;83,33;10,00;0,00;0,00;30
