Actif;Creneau;VERTICAL_DOWN %;STEEP_DOWN %;MILD_DOWN %;FLAT %;MILD_UP %;STEEP_UP %;VERTICAL_UP %;n
AUDUSD;08:00-08:30;20,00;6,67;6,67;20,00;0,00;13,33;33,33;15
AUDUSD;08:30-09:00;14,29;9,52;14,29;19,05;4,76;9,52;28,57;21
AUDUSD;09:00-09:30;13,04;13,04;4,35;26,09;0,00;21,74;21,74;23
AUDUSD;09:30-10:00;16,67;8,33;12,50;20,83;0,00;20,83;20,83;24
AUDUSD;10:00-10:30;16,67;4,17;8,33;25,00;16,67;8,33;20,83;24
AUDUSD;10:30-11:00;12,50;8,33;12,50;12,50;29,17;4,17;20,83;24
AUDUSD;11:00-11:30;12,50;4,17;20,83;12,50;25,00;8,33;16,67;24
AUDUSD;11:30-12:00;12,50;4,17;12,50;29,17;12,50;8,33;20,83;24
AUDUSD;12:00-12:30;8,33;8,33;8,33;41,67;8,33;4,17;20,83;24
AUDUSD;12:30-13:00;8,33;12,50;12,50;29,17;4,17;20,83;12,50;24
AUDUSD;13:00-13:30;8,33;12,50;12,50;25,00;16,67;12,50;12,50;24
AUDUSD;13:30-14:00;4,17;16,67;20,83;25,00;8,33;8,33;16,67;24
AUDUSD;14:00-14:30;4,17;20,83;12,50;20,83;8,33;12,50;20,83;24
AUDUSD;14:30-15:00;4,35;21,74;8,70;34,78;0,00;13,04;17,39;23
AUDUSD;15:00-15:30;4,35;17,39;13,04;21,74;8,70;17,39;17,39;23
AUDUSD;15:30-16:00;4,35;13,04;17,39;17,39;13,04;17,39;17,39;23
AUDUSD;16:00-16:30;4,35;17,39;8,70;26,09;8,70;17,39;17,39;23
AUDUSD;16:30-17:00;4,35;21,74;8,70;21,74;8,70;17,39;17,39;23
AUDUSD;17:00-17:30;4,55;22,73;13,64;9,09;13,64;22,73;13,64;22
AUDUSD;17:30-18:00;5,26;15,79;26,32;10,53;15,79;5,26;21,05;19
AUDUSD;18:00-18:30;0,00;22,22;16,67;27,78;11,11;5,56;16,67;18
AUDUSD;18:30-19:00;0,00;17,65;11,76;29,41;17,65;11,76;11,76;17
