Creneau;VERTICAL_DOWN %;STEEP_DOWN %;MILD_DOWN %;FLAT %;MILD_UP %;STEEP_UP %;VERTICAL_UP %;n
08:00-08:30; 20 ; 7 ; 13 ; 33 ; -   ; 20 ; 7 ; 15 
08:30-09:00; 10 ; 15 ; 5 ; 35 ; 5 ; 20 ; 10 ; 20 
09:00-09:30; 13 ; 13 ; 9 ; 26 ; 9 ; 22 ; 9 ; 23 
09:30-10:00; 13 ; 4 ; 13 ; 25 ; 4 ; 33 ; 8 ; 24 
10:00-10:30; 13 ; 4 ; 21 ; 17 ; 8 ; 29 ; 8 ; 24 
10:30-11:00; 4 ; 25 ; 13 ; 8 ; 17 ; 21 ; 13 ; 24 
11:00-11:30; 17 ; 21 ; 4 ; 8 ; 8 ; 29 ; 13 ; 24 
11:30-12:00; 17 ; 17 ; 13 ; 4 ; 17 ; 17 ; 13 ; 23 
12:00-12:30; 18 ; 9 ; 14 ; 18 ; 14 ; 18 ; 9 ; 22 
12:30-13:00; 17 ; 9 ; 4 ; 22 ; 17 ; 9 ; 22 ; 23 
13:00-13:30; 17 ; 4 ; -   ; 25 ; 17 ; 21 ; 17 ; 24 
13:30-14:00; 13 ; 4 ; 4 ; 25 ; 17 ; 25 ; 13 ; 24 
14:00-14:30; 13 ; 4 ; 8 ; 8 ; 21 ; 33 ; 13 ; 24 
14:30-15:00; 13 ; 9 ; 9 ; 22 ; 22 ; 17 ; 9 ; 23 
15:00-15:30; 13 ; 4 ; 13 ; 17 ; 17 ; 17 ; 17 ; 23 
15:30-16:00; 13 ; 9 ; 9 ; 22 ; 17 ; 13 ; 17 ; 23 
16:00-16:30; 9 ; 14 ; 14 ; 18 ; 9 ; 18 ; 18 ; 22 
16:30-17:00; 9 ; 14 ; 14 ; 18 ; 5 ; 18 ; 23 ; 22 
17:00-17:30; 10 ; 10 ; 14 ; 19 ; 10 ; 24 ; 14 ; 21 
17:30-18:00; 16 ; 16 ; 11 ; 11 ; 5 ; 26 ; 16 ; 19 
18:00-18:30; 17 ; 17 ; 11 ; 11 ; 11 ; 17 ; 17 ; 18 
18:30-19:00; 18 ; 18 ; 6 ; 24 ; 6 ; 12 ; 18 ; 17 
TOTAL; 13 ; 11 ; 10 ; 19 ; 12 ; 21 ; 14 ; 482 
