Actif;Creneau;LOW %;MED %;HIGH %;EXPLO %;n
AUDUSD;08:00-08:30;6,67;46,67;46,67;0,00;15
AUDUSD;08:30-09:00;28,57;42,86;23,81;4,76;21
AUDUSD;09:00-09:30;4,35;73,91;21,74;0,00;23
AUDUSD;09:30-10:00;37,50;50,00;8,33;4,17;24
AUDUSD;10:00-10:30;41,67;33,33;25,00;0,00;24
AUDUSD;10:30-11:00;16,67;58,33;25,00;0,00;24
AUDUSD;11:00-11:30;20,83;66,67;12,50;0,00;24
AUDUSD;11:30-12:00;16,67;79,17;4,17;0,00;24
AUDUSD;12:00-12:30;29,17;37,50;33,33;0,00;24
AUDUSD;12:30-13:00;0,00;62,50;29,17;8,33;24
AUDUSD;13:00-13:30;0,00;29,17;62,50;8,33;24
AUDUSD;13:30-14:00;4,17;33,33;45,83;16,67;24
AUDUSD;14:00-14:30;4,17;16,67;54,17;25,00;24
AUDUSD;14:30-15:00;4,35;21,74;60,87;13,04;23
AUDUSD;15:00-15:30;8,70;47,83;43,48;0,00;23
AUDUSD;15:30-16:00;4,35;56,52;39,13;0,00;23
AUDUSD;16:00-16:30;21,74;47,83;30,43;0,00;23
AUDUSD;16:30-17:00;21,74;52,17;26,09;0,00;23
AUDUSD;17:00-17:30;22,73;50,00;22,73;4,55;22
AUDUSD;17:30-18:00;21,05;63,16;10,53;5,26;19
AUDUSD;18:00-18:30;11,11;77,78;11,11;0,00;18
AUDUSD;18:30-19:00;23,53;58,82;11,76;5,88;17
AUDUSD;TOTAL;15,92;49,80;29,80;4,49;490
BRENT_OIL;08:00-08:30;0,00;0,00;33,33;66,67;15
BRENT_OIL;08:30-09:00;19,05;52,38;28,57;0,00;21
BRENT_OIL;09:00-09:30;26,09;60,87;8,70;4,35;23
BRENT_OIL;09:30-10:00;25,00;70,83;4,17;0,00;24
BRENT_OIL;10:00-10:30;50,00;41,67;8,33;0,00;24
BRENT_OIL;10:30-11:00;37,50;54,17;8,33;0,00;24
BRENT_OIL;11:00-11:30;33,33;58,33;8,33;0,00;24
BRENT_OIL;11:30-12:00;37,50;58,33;4,17;0,00;24
BRENT_OIL;12:00-12:30;25,00;66,67;8,33;0,00;24
BRENT_OIL;12:30-13:00;8,33;62,50;25,00;4,17;24
BRENT_OIL;13:00-13:30;0,00;70,83;29,17;0,00;24
BRENT_OIL;13:30-14:00;16,67;50,00;29,17;4,17;24
BRENT_OIL;14:00-14:30;4,17;54,17;37,50;4,17;24
BRENT_OIL;14:30-15:00;4,35;47,83;47,83;0,00;23
BRENT_OIL;15:00-15:30;0,00;4,35;65,22;30,43;23
BRENT_OIL;15:30-16:00;26,09;47,83;26,09;0,00;23
BRENT_OIL;16:00-16:30;26,09;56,52;13,04;4,35;23
BRENT_OIL;16:30-17:00;26,09;52,17;21,74;0,00;23
BRENT_OIL;17:00-17:30;22,73;50,00;27,27;0,00;22
BRENT_OIL;17:30-18:00;31,58;63,16;5,26;0,00;19
BRENT_OIL;18:00-18:30;0,00;38,89;50,00;11,11;18
BRENT_OIL;18:30-19:00;41,18;58,82;0,00;0,00;17
BRENT_OIL;TOTAL;21,22;51,84;22,04;4,90;490
BTCUSD;08:00-08:30;73,33;20,00;6,67;0,00;15
BTCUSD;08:30-09:00;85,71;14,29;0,00;0,00;21
BTCUSD;09:00-09:30;82,61;17,39;0,00;0,00;23
BTCUSD;09:30-10:00;83,33;16,67;0,00;0,00;24
BTCUSD;10:00-10:30;91,67;8,33;0,00;0,00;24
BTCUSD;10:30-11:00;87,50;12,50;0,00;0,00;24
BTCUSD;11:00-11:30;79,17;20,83;0,00;0,00;24
BTCUSD;11:30-12:00;83,33;12,50;4,17;0,00;24
BTCUSD;12:00-12:30;75,00;25,00;0,00;0,00;24
BTCUSD;12:30-13:00;62,50;37,50;0,00;0,00;24
BTCUSD;13:00-13:30;45,83;50,00;4,17;0,00;24
BTCUSD;13:30-14:00;4,17;95,83;0,00;0,00;24
BTCUSD;14:00-14:30;0,00;91,67;8,33;0,00;24
BTCUSD;14:30-15:00;39,13;60,87;0,00;0,00;23
BTCUSD;15:00-15:30;21,74;69,57;8,70;0,00;23
