Actif;n;DEAD_actuel;OFF_actuel;OK_actuel;HIGH_actuel;HOT_actuel;BURST_actuel;DEAD_corrige;OFF_corrige;OK_corrige;HIGH_corrige;HOT_corrige;BURST_corrige;burst_concentration_3h
AUDUSD;14822;14,76;19,06;35,17;26,12;4,44;0,45;22,25;7,62;19,47;36,69;12,89;1,09;67,2
BRENT_OIL;14822;14,15;0,00;33,60;42,05;9,67;0,53;23,44;3,43;20,89;37,96;13,16;1,13;55,1
BTCUSD;14822;43,42;9,17;24,50;19,26;3,66;0,00;23,53;5,63;19,86;32,29;17,64;1,05;
COCOA;14822;0,00;0,00;0,00;84,85;14,69;0,47;0,00;28,24;19,05;37,57;14,12;1,03;69,6
CrudeOIL;14822;22,35;0,00;21,99;44,56;10,52;0,57;24,64;4,32;19,40;38,70;11,91;1,03;54,1
ETHUSD;14822;57,16;0,00;29,12;11,64;2,08;0,00;23,59;6,13;18,47;33,06;17,58;1,17;
EURUSD;14822;10,13;7,70;28,93;41,85;10,10;1,30;23,21;5,80;19,48;38,46;12,02;1,04;71,4
GASOLINE;14822;17,36;0,00;19,71;42,90;18,92;1,11;24,69;4,03;20,00;34,33;15,83;1,11;50,6
GBPUSD;14822;20,27;9,92;29,22;33,14;6,71;0,74;23,73;4,26;20,23;38,15;12,62;1,01;73,6
GERMANY_40;14822;26,62;8,83;39,21;22,26;2,96;0,11;24,92;3,70;21,35;36,74;12,29;1,01;64,7
GOLD;14822;34,95;5,11;18,48;25,45;14,28;1,73;24,19;5,04;20,15;34,61;14,94;1,07;76,3
SILVER;14822;32,82;10,63;19,78;26,08;10,59;0,11;24,04;4,41;19,61;34,07;16,79;1,07;64,7
UK_100;14822;6,05;16,68;21,96;42,36;12,58;0,37;22,73;4,22;21,89;36,34;13,78;1,03;60,0
USDCAD;14822;7,74;0,00;31,54;47,90;12,32;0,51;24,91;3,54;18,22;37,59;14,71;1,03;68,0
USDCHF;14822;15,92;0,00;19,73;53,04;10,40;0,92;23,40;3,83;21,11;39,04;11,61;1,01;64,2
USDJPY;14822;7,12;0,00;30,02;46,92;13,30;2,63;22,98;4,74;20,64;39,52;11,09;1,03;52,8
US_30;14822;25,64;6,25;24,65;26,96;14,94;1,57;24,52;4,86;19,94;35,74;13,88;1,05;92,7
US_500;14822;16,75;9,56;34,89;30,60;7,54;0,67;24,38;3,94;20,15;38,47;12,06;1,01;67,7
US_TECH100;14822;15,88;5,65;22,57;27,22;28,24;0,43;24,94;4,41;20,52;26,26;22,83;1,05;90,5
