Actif;n;p10_ancien;p15_ancien;p20_ancien;p25_ancien;p30_ancien;p50_ancien;p75_ancien;p95_ancien;p99_ancien;p10_neuf;p15_neuf;p20_neuf;p25_neuf;p30_neuf;p50_neuf;p75_neuf;p95_neuf;p99_neuf;p10_indiv;p15_indiv;p20_indiv;p25_indiv;p30_indiv;p50_indiv;p75_indiv;p95_indiv;p99_indiv
AUDUSD;14822;1,6;2;2,2;2,4;2,8;3,8;5,4;8,4;11,6;1,6;2;2,2;2,4;2,8;3,8;5,4;8,4;11,6;0;1;1;2;2;4;6;10;13
BRENT_OIL;14822;1,6;2;2,2;2,6;2,8;4;5,8;8,8;11,4;1,6;2;2,2;2,6;2,8;4;5,8;8,8;11,4;1;1;2;2;2;4;6;10;14
BTCUSD;14822;3,2;4;4,6;5;5,6;7,6;10,6;14;16;3,2;4;4,6;5;5,6;7,6;10,6;14;16;2;3;4;4;5;8;11;15;17
COCOA;14822;0;0;0;0;0,2;1;2,2;4,2;6;0;0;0;0;0,2;1;2,2;4,2;6;0;0;0;0;0;0;2;6;8
CrudeOIL;14822;2,6;3,2;3,6;4,2;4,6;6,4;9,6;15,6;22;2,6;3,2;3,6;4,2;4,6;6,4;9,6;15,6;22;1;2;3;3;4;6;10;17;25
ETHUSD;14822;4,4;5;5,6;6;6,6;8,2;10,6;13,4;15;4,4;5;5,6;6;6,6;8,2;10,6;13,4;15;3;4;5;6;6;8;11;15;16
EURUSD;14822;3,8;4,6;5,2;5,6;6,2;8,2;11,6;18,8;26,8;3,8;4,6;5,2;5,6;6,2;8,2;11,6;18,8;26,8;2;3;4;5;5;8;13;21;29
GASOLINE;14822;4;4,6;5,2;5,8;6,2;8;10,4;13,8;16;4;4,6;5,2;5,8;6,2;8;10,4;13,8;16;3;4;4;5;6;8;11;15;18
GBPUSD;14822;3,6;4,2;4,8;5,4;5,8;7,8;11;17;23;3,6;4,2;4,8;5,4;5,8;7,8;11;17;23;2;3;3;4;5;8;12;19;26
GERMANY_40;14822;3,6;4,4;5;5,8;6,2;8,6;12;18,6;24;3,6;4,4;5;5,8;6,2;8,6;12;18,6;24;2;3;4;5;5;8;13;21;27
GOLD;14822;9,6;10,6;11,8;12,8;13,8;17,8;24,8;35,4;41,6;9,6;10,6;11,8;12,8;13,8;17,8;24,8;35,4;41,6;7;9;11;12;13;18;26;37;44
SILVER;14822;4,6;5,2;5,7;6,2;6,6;8,4;11,4;15,6;17,4;4,6;5,2;5,7;6,2;6,6;8,4;11,4;15,6;17,4;3;4;5;6;6;9;12;17;19
UK_100;14822;1,2;1,4;1,8;2;2,2;3,2;4,8;7,4;9,6;1,2;1,4;1,8;2;2,2;3,2;4,8;7,4;9,6;0;1;1;1;2;3;5;9;12
USDCAD;14822;2;2,4;2,8;3,2;3,4;4,4;6,2;9;11,8;2;2,4;2,8;3,2;3,4;4,4;6,2;9;11,8;1;1;2;2;3;4;7;11;13
USDCHF;14822;1,6;1,8;2,2;2,4;2,6;3,6;5;8;11,8;1,6;1,8;2,2;2,4;2,6;3,6;5;8;11,8;0;1;1;2;2;3;6;10;13
USDJPY;14822;2,4;3;3,4;3,8;4,2;6;8,8;15,2;23,4;2,4;3;3,4;3,8;4,2;6;8,8;15,2;23,4;1;1;2;3;3;6;10;17;26
US_30;14822;4,2;5,2;6;6,8;7,6;11,2;18,6;32,8;38;4,2;5,2;6;6,8;7,6;11,2;18,6;32,8;38;3;4;5;6;7;11;19;34;40
US_500;14822;2,2;2,6;3,2;3,8;4,2;6,4;10,4;20,2;27,4;2,2;2,6;3,2;3,8;4,2;6,4;10,4;20,2;27,4;1;2;2;3;4;6;11;21;29
US_TECH100;14822;19,4;21,6;23,4;25,2;26,6;32,8;40,2;45,8;47,4;19,4;21,6;23,4;25,2;26,6;32,8;40,2;45,8;47,4;18;21;23;25;27;33;41;47;49
