Actif;n;p20_config;taux_actuel_pct;p20_sur_moyenne;taux_si_vrai_p20_pct;seuil_equivalent
AUDUSD;14822;2;14,76;2.2;17,99;2
BRENT_OIL;14822;2;14,15;2.2;17,29;2
BTCUSD;14822;6;33,10;4.6;19,93;6
COCOA;14822;0;0,00;0;0,00;0
CrudeOIL;14822;3;12,74;3.6;18,70;2.8
ETHUSD;14822;8;45,70;5.6;19,61;8
EURUSD;14822;3;4,92;5.2;19,61;3
GASOLINE;14822;4;9,86;5.2;19,16;4
GBPUSD;14822;4;12,29;4.8;18,56;4
GERMANY_40;14822;5;18,53;5;18,53;5
GOLD;14822;14;30,15;11.8;19,34;14
SILVER;14822;7;32,82;5.666666666666667;20,00;7
UK_100;14822;1;6,05;1.8;18,98;1
USDCAD;14822;2;7,74;2.8;18,22;2
USDCHF;14822;1;3,54;2.2;19,69;1
USDJPY;14822;1;2,12;3.4;18,80;1
US_30;14822;5;13,55;6;19,61;4.8
US_500;14822;2;7,91;3.2;18,67;2
US_TECH100;14822;21;13,37;23.4;19,86;21
