time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 18:00;0.69749;0.69766;0.69689;0.69726;34.58;20.83;13.84;48.06;60.85;0.772;STRONG_UP;2;74.9;3;1
2026.07.14 17:00;0.69776;0.69789;0.69705;0.69749;36.80;24.04;12.77;60.02;72.11;0.805;STRONG_UP;2;76.3;3;1
2026.07.14 16:00;0.69728;0.69779;0.69683;0.69775;37.76;25.90;14.74;74.47;80.40;0.843;STRONG_UP;2;77.6;3;1
2026.07.14 15:00;0.69862;0.69924;0.69712;0.69725;39.34;29.89;12.36;81.85;81.82;0.770;STRONG_UP;2;77.3;3;1
2026.07.14 14:00;0.69811;0.69924;0.69780;0.69862;39.01;34.49;9.32;84.89;75.64;0.968;EXPLOSIVE_UP;3;80.5;3;1
2026.07.14 13:00;0.69688;0.69827;0.69678;0.69811;36.17;29.43;10.76;78.74;70.38;0.895;STRONG_UP;2;80.4;3;1
2026.07.14 12:00;0.69442;0.69829;0.69406;0.69689;34.59;33.96;12.41;63.30;69.44;0.718;STRONG_UP;2;79;3;1
2026.07.14 11:00;0.69402;0.69452;0.69380;0.69441;32.76;25.47;14.32;69.11;78.64;0.360;SOFT_UP;1;70.5;3;1
2026.07.14 10:00;0.69512;0.69528;0.69400;0.69403;33.50;29.39;12.25;75.90;80.87;0.305;SOFT_UP;1;69.2;3;1
2026.07.14 09:00;0.69432;0.69532;0.69424;0.69512;32.32;33.91;11.25;90.90;80.11;0.462;SOFT_UP;1;77.3;3;1
2026.07.14 08:00;0.69406;0.69448;0.69366;0.69430;29.57;27.16;12.99;75.82;75.05;0.344;SOFT_UP;1;74.9;3;1
2026.07.14 07:00;0.69284;0.69426;0.69273;0.69405;28.69;27.21;14.98;73.62;79.14;0.308;SOFT_UP;1;75.3;3;1
2026.07.14 06:00;0.69339;0.69354;0.69281;0.69283;28.65;24.16;17.29;75.72;83.41;0.132;NEUTRE;0;62.2;2;0
2026.07.14 05:00;0.69327;0.69384;0.69322;0.69339;30.51;27.87;11.31;88.07;84.07;0.212;NEUTRE;0;74.7;3;0
2026.07.14 04:00;0.69299;0.69331;0.69282;0.69325;28.70;19.01;13.05;86.45;78.00;0.192;NEUTRE;0;76.4;3;0
2026.07.14 03:00;0.69233;0.69325;0.69212;0.69300;30.25;20.05;15.05;77.68;72.31;0.156;NEUTRE;0;77.4;3;0
2026.07.14 02:00;0.69201;0.69277;0.69194;0.69232;32.72;16.60;17.37;69.87;66.82;0.058;NEUTRE;0;68.2;3;0
2026.07.14 01:00;0.69184;0.69236;0.69155;0.69200;37.40;11.55;20.04;69.39;57.87;0.012;NEUTRE;0;;;0
2026.07.14 00:00;0.69192;0.69216;0.69124;0.69184;39.02;9.53;23.13;61.20;43.02;-0.012;NEUTRE;0;;;0
2026.07.13 23:00;0.69164;0.69192;0.69149;0.69190;38.62;11.00;22.50;43.02;27.95;-0.328;SOFT_DOWN;-1;-50.9;-2;0
2026.07.13 22:00;0.69176;0.69200;0.69145;0.69165;39.28;12.69;25.97;24.85;19.12;-0.364;SOFT_DOWN;-1;-55;-2;0
2026.07.13 21:00;0.69142;0.69171;0.69115;0.69144;40.04;6.68;29.96;15.99;15.55;-0.395;SOFT_DOWN;-1;-58.4;-2;0
2026.07.13 20:00;0.69175;0.69177;0.69127;0.69169;36.42;7.70;31.27;16.52;15.04;-0.359;SOFT_DOWN;-1;-57.2;-2;0
2026.07.13 19:00;0.69217;0.69223;0.69146;0.69174;32.72;8.89;30.24;14.14;16.15;-0.351;SOFT_DOWN;-1;-57.9;-2;1
2026.07.13 18:00;0.69209;0.69221;0.69172;0.69217;29.35;10.26;29.70;14.48;21.82;-0.290;SOFT_DOWN;-1;-54.3;-2;1
2026.07.13 17:00;0.69214;0.69257;0.69200;0.69209;26.38;11.83;25.47;19.84;28.86;-0.301;SOFT_DOWN;-1;-56.8;-2;1
2026.07.13 16:00;0.69336;0.69364;0.69174;0.69214;24.82;13.65;29.39;31.15;36.57;-0.294;SOFT_DOWN;-1;-57.8;-2;1
2026.07.13 15:00;0.69357;0.69386;0.69317;0.69336;23.01;15.75;22.34;35.61;45.47;-0.118;NEUTRE;0;-34.2;-1;1
2026.07.13 14:00;0.69359;0.69391;0.69240;0.69356;23.89;18.18;25.77;42.96;61.88;-0.089;NEUTRE;0;-28.8;-1;1
2026.07.13 13:00;0.69462;0.69479;0.69336;0.69359;24.91;20.97;19.96;57.85;75.71;-0.085;NEUTRE;0;-29.4;-1;1
2026.07.13 12:00;0.69447;0.69459;0.69378;0.69457;28.36;24.20;18.51;84.83;84.37;0.056;NEUTRE;0;21.9;0;1
2026.07.13 11:00;0.69458;0.69492;0.69419;0.69448;30.67;27.92;13.57;84.45;83.34;0.043;NEUTRE;0;18.6;0;1
2026.07.13 10:00;0.69413;0.69458;0.69380;0.69458;30.07;25.06;15.65;83.83;78.85;0.058;NEUTRE;0;26.6;1;1
2026.07.13 09:00;0.69417;0.69428;0.69385;0.69413;31.14;22.99;18.06;81.74;69.11;-0.007;NEUTRE;0;-3.8;0;1
2026.07.13 08:00;0.69373;0.69467;0.69367;0.69417;34.08;26.53;20.84;70.99;54.49;-0.001;NEUTRE;0;-0.6;0;1
2026.07.13 07:00;0.69283;0.69371;0.69270;0.69369;37.48;15.84;24.05;54.61;42.77;-0.071;NEUTRE;0;-41.2;-1;1
2026.07.13 06:00;0.69284;0.69328;0.69234;0.69283;40.08;11.73;27.75;37.87;34.92;-0.194;NEUTRE;0;-70.3;-3;0
2026.07.13 05:00;0.69321;0.69376;0.69250;0.69284;40.00;13.53;29.40;35.83;31.76;-0.193;NEUTRE;0;-73.3;-3;0
2026.07.13 04:00;0.69296;0.69330;0.69247;0.69322;40.47;10.00;33.92;31.05;26.28;-0.138;NEUTRE;0;-71.4;-3;0
2026.07.13 03:00;0.69307;0.69313;0.69237;0.69296;38.32;8.39;39.14;28.39;25.47;-0.176;NEUTRE;0;-78.8;-3;0
2026.07.13 02:00;0.69349;0.69375;0.69308;0.69308;34.26;9.68;30.79;19.40;24.31;-0.158;NEUTRE;0;-81.7;-3;0
