time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 18:45;0.69710;0.69727;0.69709;0.69726;21.76;10.51;20.80;42.79;48.37;0.772;STRONG_UP;2;74.3;3;1
2026.07.14 18:30;0.69738;0.69747;0.69689;0.69710;20.05;12.13;24.00;46.85;52.62;0.749;STRONG_UP;2;74;3;1
2026.07.14 18:15;0.69755;0.69766;0.69726;0.69739;18.08;13.99;17.87;55.46;54.60;0.791;STRONG_UP;2;75;3;1
2026.07.14 18:00;0.69749;0.69760;0.69745;0.69754;18.99;16.14;13.32;55.56;52.05;0.812;STRONG_UP;2;75.6;3;1
2026.07.14 17:45;0.69752;0.69764;0.69739;0.69749;20.43;18.63;15.36;52.78;53.55;0.805;STRONG_UP;2;75.7;3;1
2026.07.14 17:30;0.69748;0.69755;0.69741;0.69752;22.10;15.95;17.73;47.81;54.12;0.809;STRONG_UP;2;75.9;3;1
2026.07.14 17:15;0.69725;0.69755;0.69705;0.69747;24.69;18.41;20.46;60.07;53.33;0.802;STRONG_UP;2;76;3;1
2026.07.14 17:00;0.69776;0.69789;0.69724;0.69725;27.67;21.24;17.76;54.48;43.07;0.770;STRONG_UP;2;75.7;3;1
2026.07.14 16:45;0.69768;0.69779;0.69742;0.69775;30.56;24.51;16.23;45.45;30.90;0.843;STRONG_UP;2;77;3;1
2026.07.14 16:30;0.69745;0.69777;0.69745;0.69768;32.13;28.28;17.48;29.28;20.47;0.832;STRONG_UP;2;77.1;3;1
2026.07.14 16:15;0.69730;0.69749;0.69713;0.69746;33.44;19.17;20.17;17.96;18.78;0.801;STRONG_UP;2;76.8;3;1
2026.07.14 16:00;0.69728;0.69734;0.69683;0.69730;38.20;15.71;23.27;14.17;30.34;0.778;STRONG_UP;2;76.6;3;1
2026.07.14 15:45;0.69766;0.69786;0.69712;0.69725;41.09;18.12;18.10;24.22;49.34;0.770;STRONG_UP;2;76.7;3;1
2026.07.14 15:30;0.69869;0.69876;0.69735;0.69766;47.40;20.91;16.10;52.62;65.07;0.830;STRONG_UP;2;77.8;3;1
2026.07.14 15:15;0.69911;0.69915;0.69863;0.69868;52.70;24.13;4.62;71.18;67.75;0.977;EXPLOSIVE_UP;3;79.8;3;1
2026.07.14 15:00;0.69862;0.69924;0.69845;0.69912;50.36;27.84;5.33;71.43;66.93;1.041;EXPLOSIVE_UP;3;80.5;3;1
2026.07.14 14:45;0.69857;0.69881;0.69835;0.69862;47.67;23.75;6.15;60.64;68.66;0.968;EXPLOSIVE_UP;3;80;3;1
2026.07.14 14:30;0.69799;0.69924;0.69785;0.69856;45.94;27.40;7.09;68.72;78.49;0.960;EXPLOSIVE_UP;3;80.1;3;1
