time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 16:00;64690.10;64842.80;64283.20;64526.70;29.23;27.41;12.49;90.84;81.29;3.655;STRONG_UP;2;77.5;3;1
2026.07.14 12:00;62758.80;64887.40;62698.90;64692.40;27.97;31.62;14.41;86.58;66.99;3.921;STRONG_UP;2;81.2;3;1
2026.07.14 08:00;62456.90;62834.40;62403.40;62758.80;26.52;22.05;16.63;66.45;48.38;0.815;NEUTRE;0;63.5;2;1
2026.07.14 04:00;62486.90;62792.00;62416.10;62458.50;28.45;23.93;19.19;47.95;33.81;0.332;NEUTRE;0;58.6;2;0
2026.07.14 00:00;62251.60;62580.70;62181.30;62486.90;31.13;18.97;22.14;30.75;24.29;0.378;NEUTRE;0;;;0
2026.07.13 20:00;62200.90;62260.50;61789.40;62251.60;34.73;9.55;25.55;22.75;21.31;-2.315;SOFT_DOWN;-1;-66.3;-3;0
2026.07.13 16:00;62538.40;62558.80;61743.70;62201.90;33.07;11.02;29.48;19.38;19.25;-2.393;SOFT_DOWN;-1;-71.3;-3;1
2026.07.13 12:00;62834.30;62906.10;62046.70;62538.40;31.14;12.72;28.29;21.80;18.08;-1.865;SOFT_DOWN;-1;-71.9;-3;1
2026.07.13 08:00;62924.80;63212.40;62787.70;62834.30;30.09;14.67;19.38;16.56;19.78;-1.401;SOFT_DOWN;-1;-73.8;-3;1
2026.07.13 04:00;62751.10;62999.00;62456.60;62925.10;32.59;9.20;22.36;15.88;34.40;-1.258;SOFT_DOWN;-1;-80.8;-3;0
2026.07.13 00:00;63727.10;64365.50;62686.90;62751.10;31.19;10.62;19.27;26.89;50.97;-1.532;SOFT_DOWN;-1;;;0
2026.07.12 20:00;64180.70;64208.30;63614.70;63727.10;31.54;12.25;13.73;60.44;57.34;-0.059;NEUTRE;0;-3.3;0;0
2026.07.12 16:00;64123.40;64216.10;63968.10;64180.70;35.51;14.14;6.69;65.58;52.43;0.652;NEUTRE;0;38.8;1;0
2026.07.12 12:00;63953.90;64225.50;63905.90;64123.40;35.47;16.31;7.71;46.00;41.51;0.562;NEUTRE;0;42.7;1;0
2026.07.12 08:00;63831.70;64047.30;63709.00;63953.90;35.42;10.24;8.90;45.72;40.29;0.297;NEUTRE;0;36.2;1;0
2026.07.12 04:00;64166.20;64187.80;63589.20;63832.50;39.79;11.82;10.27;32.81;38.70;0.106;NEUTRE;0;27.6;1;0
2026.07.12 00:00;63764.80;64166.80;63656.70;64166.20;44.84;13.63;10.12;42.34;50.32;0.630;NEUTRE;0;;;0
2026.07.11 20:00;64232.80;64407.40;63763.50;63764.80;49.46;15.73;8.45;40.96;56.39;-0.545;NEUTRE;0;-28.2;-1;0
2026.07.11 16:00;64108.90;64341.00;64026.40;64232.80;52.43;18.15;3.47;67.66;61.19;0.185;NEUTRE;0;12.8;0;0
2026.07.11 12:00;64132.00;64436.00;63903.50;64108.90;50.06;20.94;4.00;60.55;54.56;-0.009;NEUTRE;0;-0.8;0;0
2026.07.11 08:00;64101.40;64243.30;64069.20;64132.00;47.31;18.60;4.62;55.36;51.66;0.027;NEUTRE;0;3.8;0;0
