time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 17:00;5894.00000;5931.00000;5894.00000;5930.00000;27.22;20.82;13.07;92.03;75.24;2.277;SOFT_UP;1;58.8;2;1
2026.07.14 16:00;5802.00000;5933.00000;5790.00000;5891.00000;27.88;24.03;15.08;80.16;57.78;1.604;NEUTRE;0;51;2;1
2026.07.14 15:00;5697.00000;5843.00000;5697.00000;5800.00000;28.66;18.04;17.40;53.52;43.61;0.034;NEUTRE;0;1.6;0;1
2026.07.14 14:00;5563.00000;5698.00000;5535.00000;5698.00000;32.79;5.54;20.08;39.66;44.46;-1.725;NEUTRE;0;-56.6;-2;1
2026.07.14 13:00;5699.00000;5719.00000;5535.00000;5563.00000;29.10;6.39;23.17;37.64;50.40;-4.053;STRONG_DOWN;-2;-75.4;-3;1
2026.07.14 12:00;5727.00000;5803.00000;5626.00000;5705.00000;24.84;7.37;19.13;56.08;53.13;-1.604;NEUTRE;0;-58.7;-2;1
2026.07.14 11:00;5736.00000;5790.00000;5696.00000;5729.00000;21.84;8.51;15.99;57.48;50.70;-1.190;NEUTRE;0;-53.1;-2;1
2026.07.14 10:00;5762.00000;5807.00000;5695.00000;5735.00000;20.51;9.82;18.45;45.83;50.45;-1.087;NEUTRE;0;-53.2;-2;1
2026.07.14 09:00;5667.00000;5799.00000;5667.00000;5761.00000;18.97;10.23;21.28;48.79;60.45;-0.638;NEUTRE;0;-41.1;-1;1
2026.07.14 08:00;5798.00000;5798.00000;5597.00000;5669.00000;16.49;11.69;24.56;56.72;71.51;-2.225;SOFT_DOWN;-1;-73.7;-3;1
2026.07.13 17:00;5816.00000;5827.00000;5803.00000;5812.00000;13.56;13.49;13.60;75.85;79.65;2.613;SOFT_UP;1;62.2;2;1
2026.07.13 16:00;5817.00000;5831.00000;5789.00000;5816.00000;15.59;15.56;15.69;81.95;83.40;2.684;SOFT_UP;1;64.2;2;1
2026.07.13 15:00;5808.00000;5888.00000;5738.00000;5816.00000;17.92;17.95;18.10;81.16;75.59;2.684;SOFT_UP;1;65.6;3;1
2026.07.13 14:00;5733.00000;5857.00000;5646.00000;5808.00000;20.62;17.54;20.89;87.08;61.98;2.542;SOFT_UP;1;65.9;3;1
2026.07.13 13:00;5784.00000;5823.00000;5708.00000;5733.00000;22.45;20.23;19.58;58.52;40.41;1.218;NEUTRE;0;49.1;2;1
2026.07.13 12:00;5579.00000;5790.00000;5573.00000;5787.00000;25.65;18.93;22.59;40.33;26.35;2.172;SOFT_UP;1;65.8;3;1
2026.07.13 11:00;5589.00000;5628.00000;5534.00000;5579.00000;28.24;10.36;26.06;22.37;20.09;-1.501;NEUTRE;0;-59.2;-2;1
2026.07.13 10:00;5645.00000;5645.00000;5457.00000;5589.00000;25.95;11.95;30.07;16.35;23.13;-1.324;NEUTRE;0;-58.5;-2;1
2026.07.13 09:00;5559.00000;5665.00000;5506.00000;5649.00000;23.31;13.79;30.78;21.55;34.82;-0.265;NEUTRE;0;-19.9;0;1
2026.07.13 08:00;5664.00000;5669.00000;5531.00000;5561.00000;21.03;15.91;33.09;31.48;47.47;-1.819;NEUTRE;0;-70.3;-3;1
2026.07.10 17:00;5998.00000;6002.00000;5957.00000;5963.00000;18.87;18.36;23.01;51.44;53.86;-6.242;EXPLOSIVE_DOWN;-3;-77.5;-3;1
2026.07.10 16:00;5979.00000;6027.00000;5968.00000;5999.00000;20.05;21.19;22.79;59.49;48.39;-5.676;STRONG_DOWN;-2;-77.1;-3;1
2026.07.10 15:00;6087.00000;6166.00000;5960.00000;5979.00000;22.57;24.45;26.30;50.64;34.12;-5.991;STRONG_DOWN;-2;-78.5;-3;1
2026.07.10 14:00;5959.00000;6105.00000;5944.00000;6087.00000;25.48;23.65;30.34;35.02;19.30;-4.292;STRONG_DOWN;-2;-75.2;-3;1
2026.07.10 13:00;5857.00000;5967.00000;5772.00000;5958.00000;27.49;14.11;35.01;16.70;10.65;-6.321;EXPLOSIVE_DOWN;-3;-80.5;-3;1
2026.07.10 12:00;6039.00000;6055.00000;5832.00000;5856.00000;25.18;16.28;35.66;6.18;10.15;-7.925;EXPLOSIVE_DOWN;-3;-83;-3;1
2026.07.10 11:00;6156.00000;6199.00000;6007.00000;6037.00000;23.31;18.78;29.08;9.05;22.02;-5.079;STRONG_DOWN;-2;-80;-3;1
2026.07.10 10:00;6192.00000;6210.00000;6139.00000;6156.00000;23.58;21.67;22.97;15.21;40.72;-3.208;SOFT_DOWN;-1;-75.8;-3;1
2026.07.10 09:00;6243.00000;6305.00000;6154.00000;6192.00000;26.76;25.00;23.26;41.81;61.50;-2.642;SOFT_DOWN;-1;-74.5;-3;1
2026.07.10 08:00;6360.00000;6360.00000;6195.00000;6245.00000;30.32;28.85;22.66;65.13;75.30;-1.808;NEUTRE;0;-70.2;-3;1
2026.07.09 17:00;6368.00000;6383.00000;6357.00000;6364.00000;33.13;33.29;11.40;77.55;81.73;2.315;SOFT_UP;1;59.2;2;1
2026.07.09 16:00;6354.00000;6376.00000;6323.00000;6371.00000;30.70;34.27;13.15;83.23;80.45;2.428;SOFT_UP;1;61.8;2;1
2026.07.09 15:00;6312.00000;6473.00000;6294.00000;6354.00000;28.57;39.54;15.17;84.41;68.89;2.154;SOFT_UP;1;60.5;2;1
2026.07.09 14:00;6195.00000;6326.00000;6168.00000;6312.00000;26.11;32.99;17.51;73.71;56.94;1.479;NEUTRE;0;52.5;2;1
2026.07.09 13:00;6060.00000;6199.00000;6035.00000;6196.00000;25.41;25.69;20.20;48.56;51.77;-0.386;NEUTRE;0;-20.1;0;1
2026.07.09 12:00;6069.00000;6154.00000;5957.00000;6061.00000;27.48;25.43;23.31;48.56;57.67;-2.556;SOFT_DOWN;-1;-69.1;-3;1
2026.07.09 11:00;6231.00000;6238.00000;6063.00000;6070.00000;31.04;29.34;18.62;58.19;57.48;-2.412;SOFT_DOWN;-1;-69.7;-3;1
2026.07.09 10:00;6119.00000;6246.00000;6105.00000;6231.00000;32.38;33.85;17.79;66.27;51.69;0.177;NEUTRE;0;12.3;0;1
2026.07.09 09:00;6096.00000;6144.00000;6058.00000;6123.00000;32.58;27.93;20.53;47.97;45.11;-1.559;NEUTRE;0;-64.9;-2;1
2026.07.09 08:00;6220.00000;6228.00000;6082.00000;6094.00000;35.24;32.23;19.39;40.82;44.37;-2.026;SOFT_DOWN;-1;-72.2;-3;1
2026.07.08 17:00;6040.00000;6042.00000;6025.00000;6035.00000;36.84;22.36;22.38;46.55;51.71;3.304;SOFT_UP;1;67.3;3;1
2026.07.08 16:00;6079.00000;6081.00000;6039.00000;6040.00000;42.50;25.80;13.15;45.72;60.35;3.389;SOFT_UP;1;69;3;1
2026.07.08 15:00;5988.00000;6158.00000;5962.00000;6078.00000;44.04;29.76;15.17;62.85;75.67;4.040;STRONG_UP;2;73.2;3;1
