time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 18:00;1870.13;1875.50;1866.85;1873.43;33.51;26.49;16.04;73.07;81.49;5.601;STRONG_UP;2;76;3;1
2026.07.14 17:00;1872.12;1872.22;1860.06;1870.13;34.88;24.73;18.51;81.08;87.61;5.415;STRONG_UP;2;76.3;3;1
2026.07.14 16:00;1873.38;1875.48;1867.06;1872.12;38.03;28.54;12.50;90.33;91.95;5.527;STRONG_UP;2;77.3;3;1
2026.07.14 15:00;1879.09;1885.84;1871.13;1873.38;37.87;32.93;6.99;91.42;91.69;5.598;STRONG_UP;2;78.3;3;1
2026.07.14 14:00;1869.28;1880.41;1857.83;1879.09;33.70;32.32;8.06;94.09;90.79;5.920;STRONG_UP;2;79.6;3;1
2026.07.14 13:00;1858.72;1880.44;1852.46;1869.28;29.64;37.29;9.30;89.57;83.68;5.367;STRONG_UP;2;79.4;3;1
2026.07.14 12:00;1795.55;1862.59;1791.85;1858.37;24.96;33.21;10.73;88.71;76.02;4.752;STRONG_UP;2;78.9;3;1
2026.07.14 11:00;1797.80;1800.37;1793.17;1795.58;20.93;24.79;12.38;72.78;61.30;1.213;NEUTRE;0;54.9;2;1
2026.07.14 10:00;1783.70;1802.35;1783.59;1797.71;19.02;28.60;14.29;66.58;51.25;1.333;NEUTRE;0;59.8;2;1
2026.07.14 09:00;1783.45;1787.20;1780.40;1783.70;16.81;20.58;16.49;44.55;44.76;0.543;NEUTRE;0;37.9;1;1
2026.07.14 08:00;1778.19;1787.14;1776.30;1783.45;17.70;23.61;19.02;42.61;48.42;0.529;NEUTRE;0;40.4;1;1
2026.07.14 07:00;1780.48;1783.44;1776.53;1778.19;18.77;21.99;21.95;47.12;56.03;0.233;NEUTRE;0;23.2;0;1
2026.07.14 06:00;1784.44;1784.88;1779.14;1780.48;21.65;25.37;19.52;55.52;62.93;0.362;NEUTRE;0;37.9;1;0
2026.07.14 05:00;1783.30;1790.28;1782.05;1784.44;22.97;29.28;14.72;65.46;68.62;0.585;NEUTRE;0;56.4;2;0
2026.07.14 04:00;1781.16;1787.31;1779.85;1783.31;21.42;28.23;16.99;67.80;73.26;0.521;NEUTRE;0;59.2;2;0
2026.07.14 03:00;1780.30;1781.66;1772.25;1781.16;20.89;20.92;19.60;72.60;79.61;0.400;NEUTRE;0;59.8;2;0
2026.07.14 02:00;1782.50;1786.61;1772.79;1780.30;23.60;24.14;21.73;79.37;79.79;0.352;NEUTRE;0;66.2;3;0
2026.07.14 01:00;1783.70;1792.13;1780.75;1782.50;26.43;27.85;16.21;86.87;70.86;0.476;NEUTRE;0;;;0
2026.07.14 00:00;1774.06;1786.01;1770.89;1783.70;26.43;23.86;18.71;73.13;55.39;0.543;NEUTRE;0;;;0
2026.07.13 23:00;1755.45;1775.43;1753.69;1774.06;28.63;16.77;21.59;52.57;49.28;-1.723;NEUTRE;0;-44;-1;0
2026.07.13 22:00;1759.37;1766.21;1753.60;1755.46;31.10;12.82;24.91;40.46;49.33;-2.754;SOFT_DOWN;-1;-58.2;-2;0
2026.07.13 21:00;1765.15;1765.15;1750.73;1759.35;30.96;13.50;28.74;54.81;47.71;-2.538;SOFT_DOWN;-1;-57.3;-2;0
2026.07.13 20:00;1772.59;1774.84;1759.81;1765.15;30.17;15.58;23.47;52.71;37.57;-2.217;SOFT_DOWN;-1;-55;-2;0
2026.07.13 19:00;1762.66;1772.89;1762.11;1772.59;31.71;17.97;24.73;35.61;29.44;-1.805;NEUTRE;0;-50.7;-2;1
2026.07.13 18:00;1751.37;1765.10;1748.99;1762.66;34.15;9.62;28.54;24.39;36.92;-2.355;SOFT_DOWN;-1;-59.3;-2;1
2026.07.13 17:00;1769.82;1773.81;1751.13;1751.30;31.78;11.10;30.88;28.33;46.76;-2.984;SOFT_DOWN;-1;-66.1;-3;1
2026.07.13 16:00;1774.90;1778.83;1765.29;1769.82;29.42;12.81;26.03;58.04;50.52;-1.958;SOFT_DOWN;-1;-57.6;-2;1
2026.07.13 15:00;1779.60;1784.75;1773.50;1774.89;28.71;14.78;20.70;53.91;38.72;-1.677;NEUTRE;0;-55.2;-2;1
2026.07.13 14:00;1769.25;1779.95;1760.93;1779.60;30.56;10.49;23.89;39.62;27.24;-1.416;NEUTRE;0;-52.5;-2;1
2026.07.13 13:00;1770.15;1774.55;1761.61;1769.25;29.27;7.74;27.56;22.64;25.77;-1.990;SOFT_DOWN;-1;-63.1;-2;1
2026.07.13 12:00;1778.72;1781.67;1766.28;1770.15;25.13;8.93;26.25;19.47;36.42;-1.940;SOFT_DOWN;-1;-64.4;-2;1
2026.07.13 11:00;1777.65;1782.85;1777.65;1778.75;21.42;10.30;18.93;35.19;48.63;-1.464;NEUTRE;0;-59.7;-2;1
2026.07.13 10:00;1783.77;1784.83;1775.06;1777.65;20.18;11.89;21.84;54.62;48.36;-1.525;NEUTRE;0;-63;-2;1
