time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 18:00;1.14230;1.14260;1.14157;1.14212;23.76;14.44;19.00;26.49;42.01;0.334;SOFT_UP;1;64.4;2;1
2026.07.14 17:00;1.14315;1.14330;1.14190;1.14230;25.31;16.66;16.99;40.48;56.76;0.350;SOFT_UP;1;66.7;3;1
2026.07.14 16:00;1.14271;1.14341;1.14238;1.14314;29.05;19.22;14.33;59.07;69.74;0.423;STRONG_UP;2;71.4;3;1
2026.07.14 15:00;1.14448;1.14531;1.14254;1.14267;31.28;22.18;14.14;70.74;77.47;0.382;SOFT_UP;1;70.8;3;1
2026.07.14 14:00;1.14510;1.14586;1.14396;1.14448;32.69;25.59;8.43;79.42;77.98;0.541;STRONG_UP;2;77.1;3;1
2026.07.14 13:00;1.14459;1.14548;1.14412;1.14511;29.96;26.45;9.73;82.25;74.33;0.596;STRONG_UP;2;79;3;1
2026.07.14 12:00;1.14064;1.14622;1.14035;1.14457;27.46;30.51;11.22;72.26;67.37;0.549;STRONG_UP;2;79;3;1
2026.07.14 11:00;1.13917;1.14091;1.13893;1.14063;24.57;21.29;12.95;68.49;69.09;0.203;SOFT_UP;1;64.3;2;1
2026.07.14 10:00;1.14007;1.14014;1.13907;1.13915;24.61;18.59;14.94;61.36;66.56;0.073;NEUTRE;0;39.4;1;1
2026.07.14 09:00;1.13993;1.14034;1.13946;1.14006;26.72;21.44;11.63;77.43;64.26;0.153;NEUTRE;0;62.4;2;1
2026.07.14 08:00;1.13958;1.14056;1.13929;1.13992;26.27;24.74;13.42;60.88;54.77;0.141;NEUTRE;0;63.3;2;1
2026.07.14 07:00;1.13861;1.13972;1.13836;1.13956;25.75;18.37;15.49;54.47;58.05;0.109;NEUTRE;0;60.3;2;1
2026.07.14 06:00;1.13914;1.13935;1.13842;1.13857;28.40;17.02;17.87;48.95;65.19;0.022;NEUTRE;0;22.4;0;0
2026.07.14 05:00;1.13902;1.13956;1.13902;1.13914;32.39;19.63;10.70;70.73;76.33;0.072;NEUTRE;0;58.4;2;0
2026.07.14 04:00;1.13933;1.13942;1.13871;1.13902;32.84;18.67;12.34;75.87;78.25;0.061;NEUTRE;0;59.8;2;0
2026.07.14 03:00;1.13904;1.13964;1.13880;1.13932;34.76;21.54;12.29;82.39;76.39;0.088;NEUTRE;0;73.2;3;0
2026.07.14 02:00;1.13886;1.13940;1.13886;1.13903;35.90;20.46;14.18;76.50;66.01;0.062;NEUTRE;0;74;3;0
2026.07.14 01:00;1.13844;1.13903;1.13842;1.13885;38.64;13.25;16.37;70.27;52.24;0.047;NEUTRE;0;;;0
2026.07.14 00:00;1.13832;1.13892;1.13779;1.13845;42.97;12.52;18.88;51.27;34.81;0.011;NEUTRE;0;;;0
2026.07.13 23:00;1.13806;1.13835;1.13797;1.13831;46.46;6.68;21.79;35.16;21.39;-0.185;NEUTRE;0;-42.2;-1;0
2026.07.13 22:00;1.13781;1.13860;1.13767;1.13806;45.45;7.71;25.14;17.98;13.28;-0.207;SOFT_DOWN;-1;-46.7;-2;0
2026.07.13 21:00;1.13780;1.13847;1.13769;1.13794;44.28;6.75;29.01;11.02;10.23;-0.217;SOFT_DOWN;-1;-49.3;-2;0
2026.07.13 20:00;1.13832;1.13841;1.13772;1.13799;41.51;6.60;33.47;10.82;9.93;-0.213;SOFT_DOWN;-1;-50.2;-2;0
2026.07.13 19:00;1.13871;1.13876;1.13814;1.13832;37.58;7.62;29.26;8.84;9.65;-0.184;NEUTRE;0;-47.5;-2;1
2026.07.13 18:00;1.13859;1.13886;1.13843;1.13870;34.33;8.79;26.56;10.13;11.49;-0.151;NEUTRE;0;-43.4;-1;1
2026.07.13 17:00;1.13887;1.13905;1.13850;1.13858;31.88;10.14;28.14;9.99;12.39;-0.161;NEUTRE;0;-46.9;-2;1
2026.07.13 16:00;1.14013;1.14023;1.13825;1.13883;29.55;11.70;32.47;14.36;16.07;-0.139;NEUTRE;0;-44.4;-1;1
2026.07.13 15:00;1.14058;1.14062;1.13961;1.14012;26.86;13.50;26.90;12.83;24.54;-0.026;NEUTRE;0;-11.1;0;1
2026.07.13 14:00;1.14142;1.14158;1.13979;1.14058;25.90;15.58;28.30;21.02;41.47;0.014;NEUTRE;0;6.4;0;1
2026.07.13 13:00;1.14306;1.14330;1.14139;1.14142;25.42;17.98;18.90;39.77;57.86;0.088;NEUTRE;0;37.3;1;1
2026.07.13 12:00;1.14271;1.14306;1.14202;1.14305;28.95;20.74;16.73;63.63;70.21;0.231;SOFT_UP;1;65.2;3;1
2026.07.13 11:00;1.14356;1.14372;1.14247;1.14272;31.75;23.93;12.65;70.17;75.91;0.202;SOFT_UP;1;64.2;2;1
2026.07.13 10:00;1.14311;1.14353;1.14256;1.14352;31.89;25.28;14.59;76.83;79.53;0.272;SOFT_UP;1;71.9;3;1
2026.07.13 09:00;1.14358;1.14370;1.14270;1.14310;32.68;29.16;14.62;80.74;78.58;0.235;SOFT_UP;1;71.2;3;1
2026.07.13 08:00;1.14241;1.14456;1.14235;1.14357;32.59;33.65;16.87;81.03;74.38;0.276;SOFT_UP;1;75.6;3;1
2026.07.13 07:00;1.14007;1.14259;1.14005;1.14242;32.50;25.11;19.46;73.96;71.30;0.175;NEUTRE;0;70.5;3;1
2026.07.13 06:00;1.13982;1.14073;1.13954;1.14007;35.55;17.71;22.46;68.16;69.70;-0.031;NEUTRE;0;-30.2;-1;0
2026.07.13 05:00;1.14035;1.14089;1.13966;1.13982;39.20;20.44;24.36;71.77;66.38;-0.053;NEUTRE;0;-50.1;-2;0
2026.07.13 04:00;1.13987;1.14048;1.13966;1.14035;43.88;18.45;28.11;69.18;56.12;-0.006;NEUTRE;0;-9.6;0;0
2026.07.13 03:00;1.13939;1.13986;1.13903;1.13986;47.44;9.66;32.44;58.20;47.63;-0.049;NEUTRE;0;-61.5;-2;0
2026.07.13 02:00;1.13975;1.13994;1.13930;1.13939;46.41;11.14;32.42;40.96;38.93;-0.090;NEUTRE;0;-78.8;-3;0
2026.07.13 01:00;1.13953;1.13971;1.13840;1.13971;46.04;7.33;37.41;43.73;34.85;-0.062;NEUTRE;0;;;0
2026.07.13 00:00;1.14042;1.14052;1.13944;1.13952;42.78;8.46;30.95;32.09;25.29;-0.079;NEUTRE;0;;;0
2026.07.12 23:00;1.13943;1.14039;1.13928;1.14039;40.58;7.91;35.71;28.71;18.92;0.022;NEUTRE;0;6.2;0;0
2026.07.12 22:00;1.14030;1.14030;1.13883;1.13943;37.02;7.88;41.20;15.07;13.89;-0.062;NEUTRE;0;-17.6;0;0
2026.07.12 21:00;1.14014;1.14062;1.13991;1.14036;32.27;9.09;36.68;12.98;14.36;0.019;NEUTRE;0;5.8;0;0
2026.07.10 20:00;1.14154;1.14179;1.14113;1.14145;27.95;10.49;30.14;13.63;20.61;-0.159;NEUTRE;0;-41.9;-1;0
2026.07.10 19:00;1.14161;1.14168;1.14135;1.14154;24.81;12.10;29.65;16.48;34.49;-0.151;NEUTRE;0;-41.8;-1;1
2026.07.10 18:00;1.14174;1.14178;1.14113;1.14161;22.16;13.96;34.21;31.72;49.14;-0.145;NEUTRE;0;-42.2;-1;1
2026.07.10 17:00;1.14290;1.14308;1.14163;1.14172;19.10;16.11;27.64;55.27;53.87;-0.136;NEUTRE;0;-42;-1;1
2026.07.10 16:00;1.14373;1.14409;1.14292;1.14292;17.99;18.59;18.20;60.42;43.73;-0.031;NEUTRE;0;-12.3;0;1
2026.07.10 15:00;1.14220;1.14387;1.14211;1.14374;20.59;18.55;21.01;45.92;30.29;0.041;NEUTRE;0;17.1;0;1
2026.07.10 14:00;1.14205;1.14281;1.14115;1.14221;22.81;12.14;24.24;24.86;25.14;-0.093;NEUTRE;0;-36.8;-1;1
2026.07.10 13:00;1.14287;1.14292;1.14191;1.14203;21.20;14.01;20.92;20.10;23.62;-0.108;NEUTRE;0;-43.1;-1;1
2026.07.10 12:00;1.14310;1.14414;1.14229;1.14288;21.42;16.16;18.35;30.47;21.02;-0.034;NEUTRE;0;-17.7;0;1
2026.07.10 11:00;1.14330;1.14349;1.14262;1.14306;23.74;13.24;21.18;20.28;12.07;-0.018;NEUTRE;0;-10.4;0;1
2026.07.10 10:00;1.14271;1.14350;1.14264;1.14330;23.84;15.28;24.08;12.32;9.28;0.003;NEUTRE;0;1.9;0;1
2026.07.10 09:00;1.14301;1.14340;1.14263;1.14269;24.07;15.84;27.79;3.61;10.53;-0.051;NEUTRE;0;-32.6;-1;1
2026.07.10 08:00;1.14368;1.14419;1.14300;1.14302;23.56;18.28;24.67;11.91;18.72;-0.022;NEUTRE;0;-17.2;0;1
2026.07.10 07:00;1.14421;1.14421;1.14361;1.14368;24.90;21.09;20.58;16.08;28.49;0.036;NEUTRE;0;30.1;1;1
2026.07.10 06:00;1.14391;1.14472;1.14386;1.14417;28.54;24.34;17.33;28.16;45.29;0.079;NEUTRE;0;56;2;0
2026.07.10 05:00;1.14424;1.14441;1.14353;1.14393;30.34;22.54;20.00;41.21;63.08;0.058;NEUTRE;0;52.6;2;0
2026.07.10 04:00;1.14491;1.14491;1.14392;1.14423;34.09;26.00;16.26;66.49;79.56;0.084;NEUTRE;0;67.1;3;0
2026.07.10 03:00;1.14580;1.14591;1.14470;1.14491;35.79;30.00;6.64;81.55;86.81;0.143;NEUTRE;0;79.5;3;0
2026.07.10 02:00;1.14469;1.14604;1.14465;1.14579;31.48;34.62;7.66;90.63;86.09;0.220;SOFT_UP;1;85.4;3;0
2026.07.10 01:00;1.14397;1.14496;1.14377;1.14470;26.51;27.99;8.83;88.24;71.33;0.125;NEUTRE;0;;;0
2026.07.10 00:00;1.14327;1.14417;1.14300;1.14398;22.59;22.09;10.19;79.42;52.50;0.062;NEUTRE;0;;;0
2026.07.09 23:00;1.14331;1.14337;1.14310;1.14328;20.39;14.96;11.76;46.34;31.70;0.098;NEUTRE;0;25.6;1;0
2026.07.09 22:00;1.14283;1.14333;1.14260;1.14332;21.69;14.99;13.57;31.74;23.85;0.102;NEUTRE;0;27.6;1;0
2026.07.09 21:00;1.14295;1.14317;1.14255;1.14264;24.26;13.92;15.66;17.02;25.57;0.042;NEUTRE;0;12.7;0;0
