time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 18:45;1.14187;1.14215;1.14185;1.14212;25.05;10.13;23.00;31.53;29.57;0.334;SOFT_UP;1;63.5;2;1
2026.07.14 18:30;1.14208;1.14228;1.14157;1.14187;22.92;11.69;26.54;27.92;30.82;0.312;SOFT_UP;1;62.2;2;1
2026.07.14 18:15;1.14237;1.14260;1.14199;1.14210;20.48;13.49;21.52;29.27;34.26;0.332;SOFT_UP;1;64;2;1
2026.07.14 18:00;1.14230;1.14248;1.14227;1.14238;20.10;15.56;17.77;35.27;34.89;0.357;SOFT_UP;1;65.9;3;1
2026.07.14 17:45;1.14256;1.14279;1.14225;1.14230;22.17;17.95;20.50;38.24;35.34;0.350;SOFT_UP;1;65.8;3;1
2026.07.14 17:30;1.14255;1.14265;1.14236;1.14254;24.56;16.73;23.65;31.18;34.86;0.371;SOFT_UP;1;67.3;3;1
2026.07.14 17:15;1.14230;1.14260;1.14190;1.14255;25.70;16.65;27.29;36.60;37.30;0.372;SOFT_UP;1;67.6;3;1
2026.07.14 17:00;1.14315;1.14330;1.14226;1.14227;25.93;19.21;23.58;36.81;33.34;0.347;SOFT_UP;1;66.5;3;1
2026.07.14 16:45;1.14321;1.14330;1.14294;1.14314;28.34;22.17;17.15;38.49;25.70;0.423;STRONG_UP;2;70.6;3;1
2026.07.14 16:30;1.14299;1.14341;1.14299;1.14320;30.74;25.58;17.65;24.73;16.02;0.429;STRONG_UP;2;71.2;3;1
2026.07.14 16:15;1.14277;1.14304;1.14261;1.14299;32.65;15.96;20.36;13.87;10.36;0.410;SOFT_UP;1;70.6;3;1
2026.07.14 16:00;1.14271;1.14286;1.14238;1.14278;35.81;11.97;23.50;9.47;12.26;0.392;SOFT_UP;1;70.1;3;1
2026.07.14 15:45;1.14330;1.14360;1.14254;1.14267;36.32;13.81;21.98;7.72;18.12;0.382;SOFT_UP;1;69.9;3;1
2026.07.14 15:30;1.14413;1.14433;1.14300;1.14328;38.39;15.94;18.69;19.58;27.89;0.436;STRONG_UP;2;72.5;3;1
2026.07.14 15:15;1.14481;1.14490;1.14407;1.14413;43.07;18.39;9.19;27.07;29.49;0.510;STRONG_UP;2;75.1;3;1
