time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 18:00;1.33767;1.33836;1.33704;1.33784;24.92;14.92;14.95;18.53;22.80;0.215;SOFT_UP;1;51;2;1
2026.07.14 17:00;1.33883;1.33905;1.33676;1.33766;28.74;17.21;17.25;19.23;31.64;0.202;NEUTRE;0;50.9;2;1
2026.07.14 16:00;1.33826;1.33915;1.33752;1.33884;33.15;19.86;14.80;30.63;44.77;0.290;SOFT_UP;1;61.9;2;1
2026.07.14 15:00;1.34048;1.34136;1.33793;1.33821;36.00;22.92;13.21;45.06;57.14;0.243;SOFT_UP;1;59.2;2;1
2026.07.14 14:00;1.34154;1.34226;1.33959;1.34045;37.40;26.44;7.79;58.61;65.16;0.410;SOFT_UP;1;71.7;3;1
2026.07.14 13:00;1.34092;1.34186;1.33977;1.34154;34.78;28.21;8.99;67.73;72.91;0.492;STRONG_UP;2;75.7;3;1
2026.07.14 12:00;1.33838;1.34433;1.33799;1.34086;32.18;32.55;10.38;69.14;77.25;0.441;STRONG_UP;2;75.3;3;1
2026.07.14 11:00;1.33721;1.33866;1.33657;1.33837;29.18;23.79;11.97;81.86;79.36;0.255;SOFT_UP;1;67.4;3;1
2026.07.14 10:00;1.33789;1.33820;1.33694;1.33721;28.59;24.07;13.81;80.74;70.06;0.168;NEUTRE;0;60.1;2;1
2026.07.14 09:00;1.33741;1.33831;1.33733;1.33789;28.82;27.77;11.18;75.46;56.44;0.219;SOFT_UP;1;68.3;3;1
2026.07.14 08:00;1.33572;1.33761;1.33535;1.33741;26.70;21.05;12.90;53.97;50.02;0.183;NEUTRE;0;67.1;3;1
2026.07.14 07:00;1.33562;1.33641;1.33510;1.33569;27.11;16.13;14.88;39.89;57.07;0.054;NEUTRE;0;38.6;1;1
2026.07.14 06:00;1.33619;1.33643;1.33521;1.33557;30.66;18.61;15.88;56.21;70.49;0.045;NEUTRE;0;37.8;1;0
2026.07.14 05:00;1.33585;1.33692;1.33583;1.33623;34.16;21.47;10.50;75.12;79.75;0.094;NEUTRE;0;62.8;2;0
2026.07.14 04:00;1.33598;1.33619;1.33558;1.33586;34.14;14.47;12.12;80.13;81.75;0.067;NEUTRE;0;60;2;0
2026.07.14 03:00;1.33562;1.33636;1.33540;1.33599;38.03;16.69;13.98;83.99;79.40;0.076;NEUTRE;0;69.1;3;0
2026.07.14 02:00;1.33543;1.33596;1.33539;1.33561;42.52;12.85;16.13;81.13;72.04;0.048;NEUTRE;0;68.1;3;0
2026.07.14 01:00;1.33510;1.33572;1.33501;1.33542;47.32;8.35;18.61;73.08;59.43;0.034;NEUTRE;0;;;0
2026.07.14 00:00;1.33497;1.33569;1.33418;1.33510;48.75;8.99;21.48;61.93;43.16;0.010;NEUTRE;0;;;0
2026.07.13 23:00;1.33480;1.33507;1.33457;1.33492;49.94;4.05;24.78;43.28;26.21;-0.274;SOFT_DOWN;-1;-50.9;-2;0
2026.07.13 22:00;1.33466;1.33525;1.33447;1.33479;46.56;4.67;28.59;24.27;15.04;-0.284;SOFT_DOWN;-1;-53.2;-2;0
2026.07.13 21:00;1.33436;1.33561;1.33331;1.33402;42.66;5.39;32.99;11.08;9.69;-0.341;SOFT_DOWN;-1;-59.2;-2;0
2026.07.13 20:00;1.33530;1.33545;1.33419;1.33448;38.16;6.22;32.18;9.79;9.42;-0.307;SOFT_DOWN;-1;-57.8;-2;0
2026.07.13 19:00;1.33600;1.33606;1.33511;1.33530;33.64;7.18;25.90;8.21;12.22;-0.246;SOFT_DOWN;-1;-53.3;-2;1
2026.07.13 18:00;1.33579;1.33606;1.33541;1.33598;30.10;8.29;25.03;10.26;19.57;-0.195;NEUTRE;0;-48.3;-2;1
