time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 18:45;1.33743;1.33787;1.33738;1.33784;16.83;16.95;21.82;57.08;57.74;0.215;SOFT_UP;1;49.9;2;1
2026.07.14 18:30;1.33800;1.33824;1.33704;1.33743;17.49;19.56;25.17;58.54;55.55;0.184;NEUTRE;0;45.8;2;1
2026.07.14 18:15;1.33820;1.33836;1.33786;1.33799;18.25;22.57;18.53;57.61;49.99;0.226;SOFT_UP;1;52;2;1
2026.07.14 18:00;1.33767;1.33822;1.33764;1.33819;19.54;21.74;21.38;50.50;41.47;0.241;SOFT_UP;1;54.2;2;1
2026.07.14 17:45;1.33795;1.33832;1.33762;1.33766;22.43;25.08;24.67;41.87;37.50;0.202;NEUTRE;0;49.7;2;1
2026.07.14 17:30;1.33763;1.33799;1.33752;1.33795;25.75;21.69;28.47;32.04;38.00;0.223;SOFT_UP;1;52.8;2;1
2026.07.14 17:15;1.33753;1.33767;1.33676;1.33763;27.63;14.55;32.85;38.60;43.54;0.199;NEUTRE;0;50;2;1
2026.07.14 17:00;1.33883;1.33905;1.33747;1.33748;25.94;16.79;25.90;43.36;40.95;0.188;NEUTRE;0;48.8;2;1
2026.07.14 16:45;1.33867;1.33905;1.33843;1.33884;26.65;19.37;20.54;48.68;33.02;0.290;SOFT_UP;1;60.8;2;1
2026.07.14 16:30;1.33857;1.33915;1.33856;1.33864;30.30;22.35;20.47;30.81;21.26;0.275;SOFT_UP;1;59.9;2;1
2026.07.14 16:15;1.33824;1.33867;1.33785;1.33857;34.28;13.27;23.62;19.58;14.75;0.270;SOFT_UP;1;59.8;2;1
2026.07.14 16:00;1.33826;1.33837;1.33752;1.33824;35.24;9.68;27.25;13.40;15.24;0.245;SOFT_UP;1;57.7;2;1
2026.07.14 15:45;1.33868;1.33912;1.33793;1.33821;33.34;11.17;24.03;11.28;20.37;0.243;SOFT_UP;1;57.9;2;1
2026.07.14 15:30;1.33973;1.33986;1.33818;1.33867;32.85;12.89;24.49;21.05;30.18;0.277;SOFT_UP;1;61.6;2;1
2026.07.14 15:15;1.34065;1.34072;1.33938;1.33973;33.13;14.87;17.27;28.79;32.62;0.357;SOFT_UP;1;67.6;3;1
2026.07.14 15:00;1.34048;1.34136;1.33995;1.34068;37.09;17.16;13.38;40.70;36.81;0.428;STRONG_UP;2;71.3;3;1
2026.07.14 14:45;1.34092;1.34121;1.34035;1.34045;40.89;19.80;11.08;28.39;36.75;0.410;SOFT_UP;1;70.8;3;1
2026.07.14 14:30;1.33988;1.34203;1.33959;1.34090;42.83;22.85;12.78;41.35;44.97;0.444;STRONG_UP;2;72.5;3;1
2026.07.14 14:15;1.34156;1.34163;1.33985;1.33988;45.07;23.84;14.75;40.52;45.48;0.368;SOFT_UP;1;69.5;3;1
2026.07.14 14:00;1.34154;1.34226;1.34119;1.34156;48.38;27.51;5.43;53.03;45.29;0.494;STRONG_UP;2;74.7;3;1
2026.07.14 13:45;1.34134;1.34183;1.34089;1.34154;45.51;25.56;6.27;42.89;40.49;0.492;STRONG_UP;2;74.9;3;1
2026.07.14 13:30;1.34017;1.34146;1.34003;1.34133;43.19;23.44;7.23;39.96;44.84;0.476;STRONG_UP;2;74.7;3;1
2026.07.14 13:15;1.34021;1.34115;1.33986;1.34016;41.71;23.71;8.35;38.63;54.66;0.389;SOFT_UP;1;71.8;3;1
2026.07.14 13:00;1.34092;1.34186;1.33977;1.34023;40.75;27.36;9.63;55.92;69.73;0.394;SOFT_UP;1;72.3;3;1
2026.07.14 12:45;1.34328;1.34373;1.34023;1.34086;39.65;31.56;7.73;69.42;79.11;0.441;STRONG_UP;2;74.4;3;1
2026.07.14 12:30;1.33881;1.34433;1.33824;1.34327;36.41;36.42;8.91;83.86;83.54;0.622;STRONG_UP;2;79;3;1
2026.07.14 12:15;1.33808;1.33888;1.33799;1.33878;32.68;28.26;10.29;84.05;83.53;0.285;SOFT_UP;1;67.4;3;1
2026.07.14 12:00;1.33838;1.33864;1.33807;1.33808;30.53;28.45;11.87;82.71;77.04;0.233;SOFT_UP;1;63.5;2;1
2026.07.14 11:45;1.33791;1.33866;1.33788;1.33837;28.90;32.83;13.69;83.84;63.20;0.255;SOFT_UP;1;66;3;1
2026.07.14 11:30;1.33754;1.33800;1.33754;1.33790;27.02;24.86;15.80;64.56;44.88;0.219;SOFT_UP;1;63.1;2;1
2026.07.14 11:15;1.33711;1.33772;1.33698;1.33754;27.75;19.32;18.23;41.19;32.17;0.193;NEUTRE;0;60.6;2;1
2026.07.14 11:00;1.33721;1.33726;1.33657;1.33713;31.58;12.73;21.04;28.89;28.53;0.162;NEUTRE;0;56.7;2;1
2026.07.14 10:45;1.33764;1.33769;1.33694;1.33721;32.65;14.69;16.02;26.43;33.26;0.168;NEUTRE;0;58.3;2;1
2026.07.14 10:30;1.33760;1.33780;1.33742;1.33765;37.01;16.95;8.64;30.27;43.22;0.201;NEUTRE;0;63.2;2;1
2026.07.14 10:15;1.33762;1.33794;1.33744;1.33762;37.71;19.56;9.16;43.08;58.22;0.199;NEUTRE;0;63.5;2;1
2026.07.14 10:00;1.33789;1.33820;1.33759;1.33761;37.94;22.57;5.96;56.31;72.34;0.198;NEUTRE;0;64;2;1
2026.07.14 09:45;1.33737;1.33831;1.33733;1.33789;34.82;26.04;6.88;75.26;84.38;0.219;SOFT_UP;1;66.7;3;1
2026.07.14 09:30;1.33772;1.33797;1.33733;1.33736;31.22;24.71;7.93;85.44;91.39;0.179;NEUTRE;0;62.8;2;1
2026.07.14 09:15;1.33799;1.33799;1.33737;1.33772;28.11;28.52;8.19;92.45;93.12;0.206;SOFT_UP;1;66.5;3;1
2026.07.14 09:00;1.33741;1.33804;1.33734;1.33799;23.92;32.90;9.45;96.30;88.60;0.226;SOFT_UP;1;68.9;3;1
2026.07.14 08:45;1.33737;1.33761;1.33709;1.33741;19.08;28.51;10.91;90.60;75.41;0.183;NEUTRE;0;65.2;3;1
2026.07.14 08:30;1.33612;1.33742;1.33612;1.33741;15.14;27.28;12.58;78.89;64.74;0.183;NEUTRE;0;65.8;3;1
2026.07.14 08:15;1.33575;1.33615;1.33544;1.33609;11.80;16.79;14.52;56.74;60.90;0.084;NEUTRE;0;46.5;2;1
2026.07.14 08:00;1.33572;1.33599;1.33535;1.33575;12.51;15.90;16.76;58.58;59.34;0.058;NEUTRE;0;36.9;1;1
2026.07.14 07:45;1.33601;1.33641;1.33559;1.33569;14.03;18.35;13.56;67.36;50.10;0.054;NEUTRE;0;35.8;1;1
2026.07.14 07:30;1.33586;1.33615;1.33538;1.33601;13.88;16.29;15.65;52.07;33.78;0.078;NEUTRE;0;47.1;2;1
2026.07.14 07:15;1.33518;1.33604;1.33510;1.33587;15.71;16.60;18.06;30.87;22.08;0.067;NEUTRE;0;43.7;1;1
2026.07.14 07:00;1.33562;1.33599;1.33511;1.33519;17.48;18.34;20.84;18.40;16.00;0.016;NEUTRE;0;13.3;0;1
2026.07.14 06:45;1.33561;1.33575;1.33530;1.33557;19.18;16.96;24.04;16.97;16.39;0.045;NEUTRE;0;34.6;1;0
2026.07.14 06:30;1.33529;1.33611;1.33525;1.33562;19.48;19.57;27.74;12.64;27.80;0.049;NEUTRE;0;37.9;1;0
2026.07.14 06:15;1.33590;1.33599;1.33521;1.33529;19.82;20.43;32.01;19.57;48.56;0.024;NEUTRE;0;21.7;0;0
2026.07.14 06:00;1.33619;1.33643;1.33588;1.33591;19.47;23.58;23.72;51.19;71.38;0.070;NEUTRE;0;50.4;2;0
2026.07.14 05:45;1.33679;1.33680;1.33621;1.33623;22.42;27.21;18.14;74.93;79.35;0.094;NEUTRE;0;59.4;2;0
2026.07.14 05:30;1.33651;1.33692;1.33650;1.33678;22.80;31.39;13.36;88.00;72.99;0.136;NEUTRE;0;68.6;3;0
2026.07.14 05:15;1.33610;1.33661;1.33608;1.33651;20.11;24.87;15.42;75.11;59.33;0.115;NEUTRE;0;66.2;3;0
2026.07.14 05:00;1.33585;1.33621;1.33583;1.33609;19.59;17.08;17.79;55.85;51.23;0.084;NEUTRE;0;60.1;2;0
2026.07.14 04:45;1.33599;1.33606;1.33558;1.33586;22.29;13.63;20.53;47.03;51.37;0.067;NEUTRE;0;55.6;2;0
