time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 18:00;25191.5;25197.0;25158.0;25172.5;21.63;14.96;19.61;46.47;58.14;0.371;NEUTRE;0;41.1;1;1
2026.07.14 17:00;25220.5;25228.5;25189.0;25191.5;22.89;17.26;10.40;59.49;68.01;0.447;NEUTRE;0;48.1;2;1
2026.07.14 16:00;25204.0;25221.0;25184.0;25220.5;22.60;16.99;12.00;68.46;73.05;0.562;SOFT_UP;1;56.1;2;1
2026.07.14 15:00;25242.5;25297.5;25189.0;25204.5;23.43;19.60;11.77;76.07;71.96;0.498;NEUTRE;0;54.6;2;1
2026.07.14 14:00;25213.5;25334.0;25152.0;25242.5;23.19;22.62;13.58;74.63;62.94;0.650;SOFT_UP;1;63;2;1
2026.07.14 13:00;25096.0;25218.0;25089.5;25213.0;22.91;16.29;15.67;65.17;58.21;0.532;SOFT_UP;1;60;2;1
2026.07.14 12:00;25028.5;25207.5;24980.5;25096.5;26.14;17.54;18.08;49.02;58.44;0.068;NEUTRE;0;13.5;0;1
2026.07.14 11:00;25060.5;25067.0;25000.0;25028.0;29.93;10.72;20.86;60.44;67.41;-0.205;NEUTRE;0;-38.3;-1;1
2026.07.14 10:00;25106.5;25132.5;25031.0;25060.5;29.59;12.37;16.95;65.87;66.95;-0.076;NEUTRE;0;-17.8;0;1
2026.07.14 09:00;25050.5;25121.5;25039.0;25106.0;31.74;12.61;19.56;75.91;68.29;0.106;NEUTRE;0;26.5;1;1
2026.07.14 08:00;25091.0;25121.5;25040.0;25050.0;33.30;14.54;22.38;59.06;66.37;-0.118;NEUTRE;0;-32;-1;1
2026.07.14 07:00;24987.5;25125.0;24964.0;25091.0;35.15;16.78;25.83;69.91;69.43;0.046;NEUTRE;0;15.5;0;1
2026.07.14 06:00;25091.5;25127.5;24973.5;24984.0;37.30;19.36;28.89;70.13;59.57;-0.381;NEUTRE;0;-69.6;-3;0
2026.07.14 05:00;25059.0;25115.5;25043.0;25091.5;40.00;22.34;26.39;68.25;42.13;0.048;NEUTRE;0;22.1;0;0
2026.07.14 04:00;24980.5;25064.5;24958.5;25059.5;44.88;14.96;30.45;40.34;25.02;-0.080;NEUTRE;0;-40.2;-1;0
2026.07.14 03:00;24947.0;24982.0;24897.5;24980.0;46.53;5.29;35.14;17.81;19.11;-0.397;NEUTRE;0;-79.9;-3;0
2026.07.14 02:00;24973.5;25007.5;24944.5;24947.0;42.33;6.10;31.99;16.91;22.38;-0.528;SOFT_DOWN;-1;-84.9;-3;0
2026.07.14 01:00;25022.0;25034.0;24962.5;24973.5;38.38;7.04;32.51;22.60;25.24;-0.423;NEUTRE;0;;;0
2026.07.14 00:00;25079.5;25080.5;24940.0;25022.0;34.38;8.12;37.51;27.64;28.55;-0.229;NEUTRE;0;;;0
2026.07.13 19:00;25129.5;25139.0;25078.0;25118.0;29.76;9.37;31.36;25.47;34.92;-0.157;NEUTRE;0;-19.3;0;1
2026.07.13 18:00;25126.0;25134.5;25093.0;25129.0;26.03;10.81;32.40;32.53;48.36;-0.113;NEUTRE;0;-14.9;0;1
2026.07.13 17:00;25159.5;25190.0;25124.0;25125.5;22.35;12.48;25.89;46.76;61.72;-0.127;NEUTRE;0;-17.5;0;1
2026.07.13 16:00;25197.5;25215.5;25136.0;25159.0;20.41;14.39;27.08;65.77;70.21;0.006;NEUTRE;0;0.9;0;1
2026.07.13 15:00;25232.0;25240.5;25179.5;25197.5;18.84;16.61;22.83;72.64;71.77;0.159;NEUTRE;0;24.2;0;1
2026.07.13 14:00;25232.0;25245.0;25086.0;25232.0;19.32;19.16;26.34;72.22;73.37;0.296;NEUTRE;0;41.8;1;1
2026.07.13 13:00;25234.0;25245.5;25177.5;25232.0;19.87;22.11;21.53;70.44;78.29;0.296;NEUTRE;0;43.9;1;1
2026.07.13 12:00;25212.0;25238.5;25163.0;25234.0;22.72;23.93;24.85;77.46;86.01;0.304;NEUTRE;0;47;2;1
2026.07.13 11:00;25218.0;25246.0;25200.0;25212.0;25.92;27.61;21.13;86.98;92.99;0.217;NEUTRE;0;39.9;1;1
2026.07.13 10:00;25259.0;25269.0;25177.5;25218.0;27.87;31.86;24.38;93.59;96.94;0.240;NEUTRE;0;45.5;2;1
2026.07.13 09:00;25231.5;25269.5;25203.0;25259.0;30.11;36.76;23.85;98.40;93.30;0.403;NEUTRE;0;62.2;2;1
2026.07.13 08:00;25182.5;25234.5;25163.0;25230.0;31.46;34.32;27.51;98.82;74.09;0.288;NEUTRE;0;56.7;2;1
2026.07.13 07:00;25041.0;25183.5;25041.0;25182.0;34.61;28.63;31.75;82.67;45.42;0.097;NEUTRE;0;30.4;1;1
2026.07.13 06:00;24964.0;25045.0;24963.5;25041.5;39.14;18.08;36.63;40.78;18.52;-0.461;NEUTRE;0;-72.9;-3;0
2026.07.13 05:00;24919.0;24976.5;24886.0;24964.0;39.94;7.93;42.27;12.81;5.66;-0.769;SOFT_DOWN;-1;-81.3;-3;0
