time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 18:00;4062.68;4063.00;4042.70;4052.20;26.20;14.44;23.43;30.70;46.33;1.282;STRONG_UP;2;70.6;3;1
2026.07.14 17:00;4061.42;4064.94;4054.30;4062.71;26.58;16.66;18.24;45.78;59.27;1.545;STRONG_UP;2;74.6;3;1
2026.07.14 16:00;4065.88;4066.77;4057.58;4061.42;29.97;19.22;16.30;62.52;68.52;1.513;STRONG_UP;2;75.2;3;1
2026.07.14 15:00;4084.89;4100.35;4064.39;4065.86;33.32;22.18;7.41;69.53;71.92;1.624;STRONG_UP;2;77;3;1
2026.07.14 14:00;4076.34;4090.05;4070.56;4084.89;30.77;21.18;8.55;73.51;71.89;2.100;EXPLOSIVE_UP;3;80.5;3;1
2026.07.14 13:00;4075.85;4088.36;4070.58;4076.33;28.96;23.11;9.86;72.72;66.75;1.886;STRONG_UP;2;80.2;3;1
2026.07.14 12:00;4030.88;4102.47;4023.12;4075.92;27.24;26.66;11.38;69.44;52.78;1.875;STRONG_UP;2;80.9;3;1
2026.07.14 11:00;4021.66;4031.67;4015.21;4030.93;25.25;17.03;13.13;58.08;40.13;0.751;SOFT_UP;1;69.9;3;1
2026.07.14 10:00;4021.69;4022.86;4015.00;4021.64;27.14;11.42;15.15;30.82;34.70;0.519;NEUTRE;0;64.2;2;1
2026.07.14 09:00;4015.76;4024.35;4013.59;4021.71;29.16;13.18;17.48;31.50;48.43;0.520;NEUTRE;0;66.6;3;1
2026.07.14 08:00;4020.74;4023.71;4014.30;4015.76;31.49;15.21;19.16;41.77;66.45;0.372;NEUTRE;0;61.7;2;1
2026.07.14 07:00;4023.80;4029.68;4020.04;4020.61;34.56;17.55;12.72;72.01;83.62;0.493;NEUTRE;0;70.4;3;1
2026.07.14 06:00;4031.29;4032.95;4021.59;4023.79;37.43;20.24;12.20;85.58;89.33;0.572;SOFT_UP;1;75.3;3;0
2026.07.14 05:00;4020.05;4033.85;4019.44;4031.25;39.37;23.36;14.08;93.27;90.61;0.759;SOFT_UP;1;80.6;3;0
2026.07.14 04:00;4016.88;4023.25;4013.42;4020.05;41.62;15.64;16.25;89.14;88.56;0.479;NEUTRE;0;78.2;3;0
2026.07.14 03:00;4012.18;4018.98;4011.08;4016.88;47.72;11.36;18.75;89.41;87.71;0.400;NEUTRE;0;79.4;3;0
2026.07.14 02:00;4010.37;4019.03;4005.97;4012.19;51.29;13.11;21.63;87.12;84.15;0.282;NEUTRE;0;79.9;3;0
2026.07.14 01:00;4004.14;4012.11;3991.98;4010.39;55.40;6.97;24.96;86.59;75.42;0.237;NEUTRE;0;;;0
2026.07.14 00:00;4000.89;4007.00;3983.01;4004.08;55.26;4.14;28.80;78.74;63.86;0.080;NEUTRE;0;;;0
2026.07.13 23:00;4000.64;4002.91;3992.18;4000.84;52.24;4.77;27.35;60.92;49.50;-2.041;STRONG_DOWN;-2;-74.2;-3;0
2026.07.13 22:00;4005.12;4005.77;4000.50;4000.59;49.47;5.51;19.63;51.91;36.22;-2.047;STRONG_DOWN;-2;-74.9;-3;0
2026.07.13 20:00;4001.83;4005.90;3996.69;4000.79;48.43;6.36;22.65;35.65;23.15;-2.042;STRONG_DOWN;-2;-76.2;-3;0
