time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 16:00;58.754;58.865;58.447;58.578;26.99;20.31;17.22;67.67;63.99;1.739;SOFT_UP;1;67.8;3;1
2026.07.14 12:00;58.041;59.647;57.770;58.751;29.87;23.44;19.87;67.92;54.63;2.039;SOFT_UP;1;75.4;3;1
2026.07.14 08:00;57.943;58.157;57.698;58.040;33.20;14.83;22.93;56.37;40.83;0.804;NEUTRE;0;66.2;3;1
2026.07.14 04:00;57.649;58.396;57.493;57.943;35.01;17.12;26.46;39.59;29.20;0.636;NEUTRE;0;74.4;3;0
2026.07.14 00:00;57.577;57.744;56.836;57.648;37.10;8.64;30.53;26.54;25.28;0.123;NEUTRE;0;;;0
2026.07.13 20:00;57.661;57.749;57.370;57.577;34.21;9.97;26.17;21.47;27.26;-2.258;STRONG_DOWN;-2;-68.5;-3;0
2026.07.13 16:00;57.961;58.034;57.236;57.668;32.58;11.50;30.20;27.83;29.12;-2.103;SOFT_DOWN;-1;-71.3;-3;1
2026.07.13 12:00;58.506;58.687;57.513;57.959;30.69;13.27;29.51;32.49;27.59;-1.609;SOFT_DOWN;-1;-71.7;-3;1
2026.07.13 08:00;58.465;58.965;58.250;58.506;29.58;15.32;24.39;27.05;26.85;-0.681;NEUTRE;0;-62.5;-2;1
2026.07.13 04:00;58.142;58.504;57.676;58.462;30.61;7.75;28.14;23.24;32.70;-0.755;NEUTRE;0;-76.8;-3;0
2026.07.13 00:00;58.907;59.349;57.991;58.144;26.58;8.95;26.62;30.26;43.00;-1.295;SOFT_DOWN;-1;;;0
2026.07.12 20:00;59.081;59.269;58.480;58.910;23.03;10.32;25.17;44.60;46.29;-0.289;NEUTRE;0;-18;0;0
2026.07.10 20:00;59.663;59.865;59.651;59.807;20.13;11.91;15.47;54.12;46.01;-0.307;NEUTRE;0;-19.1;0;0
2026.07.10 16:00;59.936;59.998;59.472;59.665;21.23;13.74;17.85;40.15;45.66;-0.543;NEUTRE;0;-37.4;-1;1
2026.07.10 12:00;59.392;60.020;58.796;59.936;22.49;15.86;20.60;43.75;56.89;-0.092;NEUTRE;0;-9.8;0;1
2026.07.10 08:00;59.907;59.957;59.244;59.393;23.95;18.30;18.13;53.08;68.70;-0.997;NEUTRE;0;-70.4;-3;1
2026.07.10 04:00;60.384;60.494;59.768;59.907;27.57;21.11;9.62;73.84;78.75;-0.140;NEUTRE;0;-38.3;-1;0
2026.07.10 00:00;59.991;60.737;59.701;60.382;26.06;24.36;11.10;79.18;81.92;0.652;NEUTRE;0;;;0
2026.07.09 20:00;59.875;60.017;59.835;59.989;24.31;17.41;12.81;83.24;85.54;2.698;STRONG_UP;2;71.8;3;0
2026.07.09 16:00;60.298;60.587;59.839;59.876;25.71;20.09;14.44;83.35;76.64;2.505;STRONG_UP;2;74.2;3;1
2026.07.09 12:00;58.992;60.479;58.882;60.300;27.14;20.96;16.66;90.02;62.71;3.230;STRONG_UP;2;80.6;3;1
2026.07.09 08:00;59.190;59.448;58.695;58.992;29.56;14.25;19.22;56.54;41.99;0.991;NEUTRE;0;70.3;3;1
2026.07.09 04:00;57.854;59.265;57.668;59.189;31.83;12.71;22.18;41.58;30.73;1.328;SOFT_UP;1;82.4;3;0
2026.07.09 00:00;58.413;58.581;57.554;57.854;32.55;8.07;25.59;27.86;23.39;-0.957;NEUTRE;0;;;0
2026.07.08 20:00;58.393;58.476;58.099;58.413;29.55;9.32;21.36;22.77;21.54;-2.064;SOFT_DOWN;-1;-66.7;-3;0
2026.07.08 16:00;57.369;58.673;57.321;58.389;28.05;10.75;24.65;19.53;25.80;-2.104;SOFT_DOWN;-1;-71.4;-3;1
2026.07.08 12:00;58.716;58.946;57.190;57.368;26.33;12.40;28.44;22.32;29.96;-3.816;STRONG_DOWN;-2;-82.1;-3;1
2026.07.08 08:00;60.600;60.654;58.020;58.721;24.34;14.31;25.55;35.55;31.18;-1.548;SOFT_DOWN;-1;-77.1;-3;1
2026.07.08 04:00;60.318;60.997;60.220;60.596;23.75;16.51;16.63;32.01;25.86;1.596;SOFT_UP;1;83.7;3;0
2026.07.08 00:00;59.644;60.725;59.581;60.318;27.35;13.67;19.18;25.98;26.38;1.130;SOFT_UP;1;;;0
2026.07.07 20:00;60.205;60.297;59.558;59.639;28.98;10.02;22.13;19.57;28.37;-3.401;STRONG_DOWN;-2;-75.4;-3;0
2026.07.07 16:00;60.601;61.044;59.410;60.206;27.64;11.56;25.54;33.58;32.55;-2.483;STRONG_DOWN;-2;-74;-3;1
2026.07.07 12:00;61.346;61.829;60.434;60.601;26.09;13.34;19.83;31.94;29.69;-1.843;SOFT_DOWN;-1;-73.9;-3;1
2026.07.07 08:00;60.793;61.358;60.616;61.345;27.09;10.19;22.88;32.12;29.59;-0.638;NEUTRE;0;-60.9;-2;1
2026.07.07 04:00;61.089;61.279;60.282;60.792;25.36;10.12;26.40;24.99;29.94;-1.534;SOFT_DOWN;-1;-83.4;-3;0
2026.07.07 00:00;61.739;62.011;60.878;61.086;22.40;11.68;21.26;31.66;32.53;-1.058;SOFT_DOWN;-1;;;0
2026.07.06 20:00;62.054;62.129;61.730;61.746;21.37;13.48;12.96;33.18;33.39;-1.630;SOFT_DOWN;-1;-61.4;-2;0
2026.07.06 16:00;61.753;62.320;61.481;62.053;24.36;15.55;14.96;32.76;32.43;-1.141;SOFT_DOWN;-1;-58.1;-2;1
2026.07.06 12:00;62.149;62.225;61.335;61.753;27.81;16.20;17.26;34.24;34.26;-1.619;SOFT_DOWN;-1;-71.8;-3;1
2026.07.06 08:00;62.325;62.346;61.786;62.151;31.60;18.69;12.12;30.30;34.54;-0.985;NEUTRE;0;-70.2;-3;1
2026.07.06 04:00;61.807;62.334;61.529;62.316;33.18;21.24;13.98;38.25;44.24;-0.722;NEUTRE;0;-76.2;-3;0
2026.07.06 00:00;62.769;63.079;61.714;61.807;35.12;24.51;12.60;35.08;52.05;-1.533;SOFT_DOWN;-1;;;0
2026.07.05 20:00;62.277;63.243;62.253;62.769;35.59;28.28;8.46;59.40;64.22;0.790;NEUTRE;0;41.7;1;0
2026.07.03 20:00;62.167;62.295;62.167;62.275;32.77;17.89;9.77;61.67;71.92;2.033;SOFT_UP;1;66.4;3;0
2026.07.03 16:00;62.194;62.362;62.150;62.225;33.29;20.65;11.27;71.60;80.91;1.951;SOFT_UP;1;70;3;1
2026.07.03 12:00;62.329;62.493;61.892;62.193;33.89;23.82;13.00;82.50;85.00;1.899;SOFT_UP;1;74.3;3;1
2026.07.03 08:00;62.667;62.869;62.210;62.329;34.58;27.49;6.86;88.62;81.65;2.122;SOFT_UP;1;80.5;3;1
2026.07.03 04:00;62.234;62.828;62.081;62.668;30.67;30.76;7.92;83.87;73.74;2.677;STRONG_UP;2;86.2;3;0
2026.07.03 00:00;61.034;62.566;60.980;62.235;26.30;30.10;9.14;72.46;67.06;1.968;SOFT_UP;1;;;0
2026.07.02 20:00;60.835;61.123;60.742;61.033;22.13;20.73;10.54;64.90;61.61;3.318;STRONG_UP;2;75;3;0
2026.07.02 16:00;61.075;61.107;60.336;60.836;20.52;23.28;12.17;63.82;60.42;2.984;STRONG_UP;2;76.6;3;1
2026.07.02 12:00;59.750;62.046;59.623;61.070;18.85;26.86;14.04;56.13;58.40;3.381;STRONG_UP;2;81;3;1
2026.07.02 08:00;59.363;60.269;59.247;59.752;16.93;19.70;16.20;61.30;59.97;1.149;SOFT_UP;1;72.8;3;1
2026.07.02 04:00;60.250;60.385;59.347;59.374;18.03;22.74;17.18;57.76;59.97;0.510;NEUTRE;0;70.8;3;0
2026.07.02 00:00;59.073;60.379;58.889;60.250;18.66;26.15;19.83;60.85;62.77;1.992;SOFT_UP;1;;;0
2026.07.01 20:00;59.223;59.401;59.020;59.072;19.42;20.07;22.88;61.30;60.50;1.192;SOFT_UP;1;53.3;2;0
2026.07.01 16:00;60.162;60.396;59.166;59.226;21.40;23.16;20.50;66.18;49.87;1.456;SOFT_UP;1;64;2;1
2026.07.01 12:00;58.884;60.974;58.298;60.163;23.76;26.72;23.65;54.03;35.42;3.061;STRONG_UP;2;80.1;3;1
2026.07.01 08:00;57.664;59.104;57.487;58.883;26.48;20.08;27.29;29.39;31.17;0.869;NEUTRE;0;67.8;3;1
2026.07.01 04:00;57.805;57.832;57.132;57.664;28.21;11.07;31.49;22.83;41.95;-1.220;SOFT_DOWN;-1;-81.7;-3;0
2026.07.01 00:00;58.376;58.668;57.436;57.792;25.16;12.77;29.66;41.28;59.13;-1.000;NEUTRE;0;;;0
2026.06.30 20:00;59.125;59.251;58.368;58.376;22.91;14.73;22.58;61.74;71.80;-0.039;NEUTRE;0;-2.5;0;0
2026.06.30 16:00;59.543;59.838;59.087;59.121;23.20;17.00;13.53;74.36;73.69;1.236;SOFT_UP;1;60.1;2;1
2026.06.30 12:00;59.031;60.420;58.213;59.548;25.02;19.62;15.61;79.29;69.16;1.967;SOFT_UP;1;74.9;3;1
2026.06.30 08:00;58.977;59.152;58.359;59.017;27.12;13.79;18.01;67.42;58.00;1.058;SOFT_UP;1;71.5;3;1
2026.06.30 04:00;57.244;59.577;57.067;58.977;29.25;15.92;20.78;60.78;51.29;0.990;NEUTRE;0;79.8;3;0
2026.06.30 00:00;58.399;58.399;56.588;57.244;31.71;11.14;23.98;45.80;44.19;-1.978;SOFT_DOWN;-1;;;0
2026.06.29 20:00;58.205;58.527;58.147;58.391;30.97;12.86;14.42;47.28;40.62;-0.430;NEUTRE;0;-25.9;-1;0
2026.06.29 16:00;58.057;58.373;57.887;58.205;34.85;8.60;16.64;39.49;37.48;-0.747;NEUTRE;0;-46.5;-2;1
2026.06.29 12:00;58.161;58.729;57.403;58.052;35.31;9.93;19.20;35.09;38.77;-1.008;SOFT_DOWN;-1;-62.2;-2;1
2026.06.29 08:00;58.284;58.494;57.388;58.163;35.85;8.73;22.16;37.86;49.98;-0.819;NEUTRE;0;-66.6;-3;1
2026.06.29 04:00;58.629;58.918;57.743;58.291;34.67;10.07;20.63;43.35;63.86;-0.600;NEUTRE;0;-73.5;-3;0
2026.06.29 00:00;58.643;59.123;58.030;58.629;34.71;11.62;20.04;68.72;79.27;-0.024;NEUTRE;0;;;0
2026.06.28 20:00;58.548;59.377;58.444;58.645;35.96;13.41;17.30;79.50;85.15;0.166;NEUTRE;0;10.6;0;0
2026.06.26 20:00;58.893;59.235;58.498;59.217;39.54;13.13;19.96;89.58;85.56;2.804;STRONG_UP;2;72.4;3;0
2026.06.26 16:00;59.363;59.427;58.809;58.896;42.44;15.15;16.54;86.36;74.62;2.246;STRONG_UP;2;72.5;3;1
2026.06.26 12:00;58.139;59.543;57.963;59.363;48.30;17.48;19.08;80.75;61.02;3.057;STRONG_UP;2;80.1;3;1
