time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 18:00;10510.5;10512.5;10502.0;10505.5;22.08;15.66;15.55;29.00;43.19;0.138;NEUTRE;0;23.2;0;1
2026.07.14 17:00;10517.0;10524.0;10505.0;10510.5;25.42;18.07;13.54;43.06;57.52;0.186;NEUTRE;0;31.5;1;1
2026.07.14 16:00;10514.0;10526.0;10506.0;10517.0;27.12;20.85;14.82;57.52;70.42;0.248;NEUTRE;0;40.9;1;1
2026.07.14 15:00;10533.0;10543.0;10511.5;10514.0;28.69;24.06;12.87;71.98;79.22;0.219;NEUTRE;0;39.2;1;1
2026.07.14 14:00;10547.5;10566.5;10525.5;10533.0;28.44;27.76;8.01;81.76;76.85;0.400;NEUTRE;0;58;2;1
2026.07.14 13:00;10508.0;10556.5;10500.5;10547.5;24.33;28.28;9.24;83.93;65.97;0.539;SOFT_UP;1;66.7;3;1
2026.07.14 12:00;10487.5;10524.5;10462.5;10508.0;20.26;23.84;10.66;64.85;46.92;0.162;NEUTRE;0;37.1;1;1
2026.07.14 11:00;10468.5;10496.0;10459.0;10487.5;17.50;20.43;12.30;49.12;32.49;-0.033;NEUTRE;0;-9.5;0;1
2026.07.14 10:00;10466.0;10475.5;10459.5;10469.0;16.37;15.05;14.20;26.79;23.71;-0.210;NEUTRE;0;-49.6;-2;1
2026.07.14 09:00;10435.5;10471.5;10432.5;10466.0;18.44;13.52;16.38;21.56;31.66;-0.238;NEUTRE;0;-55.9;-2;1
2026.07.14 08:00;10458.0;10472.5;10434.5;10435.5;19.81;15.60;18.11;22.76;46.87;-0.529;SOFT_DOWN;-1;-74.9;-3;1
2026.07.14 07:00;10481.5;10509.0;10435.5;10457.5;21.71;18.01;20.49;50.66;61.33;-0.319;NEUTRE;0;-68.6;-3;1
2026.07.14 06:00;10506.0;10521.5;10478.5;10481.5;24.06;20.78;14.65;67.21;60.26;-0.091;NEUTRE;0;-40.3;-1;0
2026.07.14 05:00;10492.0;10514.5;10490.0;10505.5;25.10;23.97;12.78;66.13;47.27;0.138;NEUTRE;0;57.1;2;0
2026.07.14 04:00;10472.5;10495.0;10465.0;10492.0;24.28;15.41;14.75;47.44;32.30;0.010;NEUTRE;0;8;0;0
2026.07.14 03:00;10463.5;10473.0;10448.5;10472.5;27.68;6.50;17.02;28.23;26.03;-0.176;NEUTRE;0;-73.1;-3;0
2026.07.14 02:00;10452.0;10475.5;10450.5;10463.5;25.06;7.51;18.38;21.22;31.65;-0.262;NEUTRE;0;-82.2;-3;0
2026.07.14 01:00;10458.0;10483.0;10444.5;10451.0;22.45;8.66;21.21;28.64;45.52;-0.381;NEUTRE;0;;;0
2026.07.14 00:00;10491.0;10514.0;10440.5;10457.5;19.44;9.99;24.47;45.07;53.27;-0.319;NEUTRE;0;;;0
2026.07.13 19:00;10511.5;10515.5;10503.0;10514.0;15.96;11.53;15.16;62.86;54.96;0.062;NEUTRE;0;10.3;0;1
2026.07.13 18:00;10512.0;10516.5;10502.0;10511.5;16.33;13.30;17.49;51.86;52.59;0.038;NEUTRE;0;6.7;0;1
2026.07.13 17:00;10503.5;10521.5;10503.0;10512.0;16.75;15.35;19.12;50.15;59.24;0.043;NEUTRE;0;8.1;0;1
2026.07.13 16:00;10508.5;10516.5;10484.5;10503.0;17.64;13.55;22.06;55.75;66.17;-0.043;NEUTRE;0;-8.6;0;1
2026.07.13 15:00;10519.5;10520.5;10499.5;10508.5;16.68;15.64;18.24;71.84;63.84;0.010;NEUTRE;0;2.1;0;1
2026.07.13 14:00;10530.5;10532.0;10482.5;10519.5;18.07;18.04;21.05;70.93;48.29;0.114;NEUTRE;0;24.5;0;1
2026.07.13 13:00;10506.0;10536.0;10489.0;10531.0;19.67;20.82;22.26;48.75;34.78;0.224;NEUTRE;0;43.9;1;1
2026.07.13 12:00;10490.5;10506.5;10478.0;10505.5;22.18;14.37;25.69;25.20;36.20;-0.019;NEUTRE;0;-5.1;0;1
2026.07.13 11:00;10494.5;10515.0;10487.5;10490.0;21.24;16.58;24.51;30.39;47.41;-0.167;NEUTRE;0;-40.3;-1;1
2026.07.13 10:00;10511.0;10512.0;10483.0;10494.5;21.53;17.45;28.29;53.00;59.66;-0.124;NEUTRE;0;-34.7;-1;1
2026.07.13 09:00;10531.0;10534.0;10504.5;10511.0;21.20;20.13;21.23;58.84;61.03;0.033;NEUTRE;0;11.6;0;1
2026.07.13 08:00;10502.0;10531.0;10489.5;10530.5;24.06;21.67;24.50;67.13;56.17;0.219;NEUTRE;0;56.9;2;1
2026.07.13 07:00;10514.5;10548.5;10492.5;10501.5;26.81;25.00;27.15;57.14;38.93;-0.057;NEUTRE;0;-24.5;0;1
2026.07.13 06:00;10488.0;10517.0;10481.5;10510.5;30.30;20.19;31.33;44.23;20.76;0.029;NEUTRE;0;15.1;0;0
2026.07.13 05:00;10479.0;10493.5;10465.5;10488.5;31.64;13.11;36.15;15.41;7.60;-0.181;NEUTRE;0;-63.7;-2;0
2026.07.13 04:00;10487.0;10492.5;10478.0;10479.0;29.31;15.13;34.85;2.64;4.17;-0.271;NEUTRE;0;-75.2;-3;0
2026.07.13 03:00;10493.5;10494.5;10482.5;10487.0;27.75;17.46;35.43;4.76;13.63;-0.195;NEUTRE;0;-74.6;-3;0
2026.07.13 02:00;10500.5;10508.0;10493.5;10493.5;26.79;20.15;26.78;5.09;34.03;-0.133;NEUTRE;0;-75;-3;0
2026.07.13 01:00;10512.0;10513.0;10494.5;10500.5;28.74;23.25;29.84;31.05;62.58;-0.067;NEUTRE;0;;;0
2026.07.13 00:00;10507.5;10535.0;10507.5;10511.5;31.25;26.82;23.62;65.94;84.64;0.038;NEUTRE;0;;;0
2026.07.10 19:00;10561.0;10563.0;10546.0;10549.0;35.08;30.95;12.98;90.73;95.42;0.764;STRONG_UP;2;66;3;1
2026.07.10 18:00;10556.0;10564.0;10554.5;10561.0;34.19;35.71;7.29;97.23;94.86;0.879;STRONG_UP;2;69.9;3;1
2026.07.10 17:00;10544.5;10559.0;10544.5;10555.5;29.28;33.11;8.41;98.30;90.35;0.826;STRONG_UP;2;69.8;3;1
2026.07.10 16:00;10534.5;10544.5;10529.0;10544.5;24.63;22.81;9.70;89.04;83.03;0.721;SOFT_UP;1;68.4;3;1
2026.07.10 15:00;10512.0;10534.5;10500.0;10534.5;22.21;16.40;11.19;83.72;74.79;0.626;SOFT_UP;1;66.8;3;1
2026.07.10 14:00;10516.5;10531.5;10477.5;10512.0;22.73;17.58;12.92;76.32;61.56;0.411;NEUTRE;0;58.7;2;1
2026.07.10 13:00;10510.5;10522.0;10498.5;10517.0;23.87;20.29;8.92;64.34;46.83;0.458;SOFT_UP;1;63.1;2;1
2026.07.10 12:00;10489.5;10515.0;10482.5;10510.5;21.55;18.83;10.29;44.02;34.95;0.396;NEUTRE;0;61.6;2;1
2026.07.10 11:00;10490.5;10502.0;10483.5;10489.5;20.36;15.57;11.88;32.12;30.01;0.196;NEUTRE;0;44.9;1;1
2026.07.10 10:00;10497.5;10505.5;10487.0;10491.0;21.42;17.97;10.79;28.72;32.33;0.210;NEUTRE;0;49.6;2;1
2026.07.10 09:00;10486.0;10502.5;10482.5;10497.5;20.88;18.24;12.45;29.20;41.51;0.272;NEUTRE;0;59.4;2;1
2026.07.10 08:00;10494.5;10517.5;10478.0;10486.0;21.19;21.04;14.37;39.06;55.33;0.162;NEUTRE;0;48.6;2;1
2026.07.10 07:00;10517.0;10521.0;10482.0;10494.5;21.55;24.28;15.02;56.28;66.34;0.244;NEUTRE;0;62.9;2;1
2026.07.10 06:00;10490.5;10525.0;10490.5;10516.5;21.24;28.01;13.98;70.64;73.62;0.454;SOFT_UP;1;76.7;3;0
2026.07.10 05:00;10490.5;10494.0;10487.0;10490.5;19.37;18.50;16.13;72.09;75.88;0.205;NEUTRE;0;66.4;3;0
2026.07.10 04:00;10495.5;10495.5;10488.0;10490.0;21.30;21.34;16.41;78.14;70.73;0.201;NEUTRE;0;70.4;3;0
2026.07.10 03:00;10495.0;10502.0;10491.0;10495.5;22.57;24.63;12.78;77.42;58.62;0.253;NEUTRE;0;78;3;0
2026.07.10 02:00;10490.0;10497.0;10488.0;10495.0;21.17;21.42;14.75;56.62;46.41;0.248;NEUTRE;0;81.8;3;0
2026.07.10 01:00;10473.5;10494.0;10467.5;10490.0;21.59;19.59;17.02;41.83;50.64;0.201;NEUTRE;0;;;0
2026.07.10 00:00;10469.0;10483.5;10465.5;10473.5;23.83;16.51;19.64;40.79;63.94;0.043;NEUTRE;0;;;0
2026.07.09 19:00;10483.0;10487.0;10475.5;10485.0;26.16;19.05;14.77;69.31;78.85;-0.309;NEUTRE;0;-42.3;-1;1
2026.07.09 18:00;10498.5;10500.0;10478.5;10483.0;28.24;21.98;13.03;81.71;84.92;-0.328;NEUTRE;0;-45.6;-2;1
2026.07.09 17:00;10489.0;10503.0;10488.0;10498.5;28.65;25.36;8.24;85.51;87.80;-0.181;NEUTRE;0;-30.8;-1;1
2026.07.09 16:00;10478.0;10495.0;10478.0;10489.0;25.22;21.06;9.50;87.53;88.62;-0.271;NEUTRE;0;-43.5;-1;1
2026.07.09 15:00;10490.0;10496.5;10474.0;10478.5;23.28;24.30;10.97;90.37;80.35;-0.371;NEUTRE;0;-54.1;-2;1
2026.07.09 14:00;10467.5;10492.5;10455.5;10490.0;21.05;25.30;12.65;87.96;59.88;-0.261;NEUTRE;0;-46.2;-2;1
2026.07.09 13:00;10441.0;10467.0;10441.0;10466.5;19.16;18.59;14.60;62.72;37.06;-0.485;SOFT_DOWN;-1;-64.4;-2;1
2026.07.09 12:00;10439.0;10455.0;10431.0;10440.5;20.26;14.49;16.85;28.94;20.33;-0.732;SOFT_DOWN;-1;-73.7;-3;1
2026.07.09 11:00;10422.5;10448.5;10417.0;10439.0;22.22;12.55;19.44;19.52;14.70;-0.746;SOFT_DOWN;-1;-75.2;-3;1
2026.07.09 10:00;10431.0;10442.5;10413.0;10422.5;22.32;11.55;22.43;12.53;10.27;-0.903;STRONG_DOWN;-2;-78.8;-3;1
