time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 18:00;1.40685;1.40739;1.40656;1.40687;28.87;13.66;18.71;45.60;32.48;-0.565;EXPLOSIVE_DOWN;-3;-79.1;-3;1
2026.07.14 17:00;1.40591;1.40727;1.40583;1.40684;30.92;13.54;21.59;33.09;24.32;-0.567;EXPLOSIVE_DOWN;-3;-79.7;-3;1
2026.07.14 16:00;1.40671;1.40724;1.40573;1.40591;32.15;15.30;24.91;18.74;20.36;-0.633;EXPLOSIVE_DOWN;-3;-81.3;-3;1
2026.07.14 15:00;1.40562;1.40691;1.40469;1.40671;33.42;14.29;28.74;21.14;26.83;-0.576;EXPLOSIVE_DOWN;-3;-81.1;-3;1
2026.07.14 14:00;1.40697;1.40697;1.40509;1.40560;33.39;16.49;30.39;21.19;34.98;-0.654;EXPLOSIVE_DOWN;-3;-82.6;-3;1
2026.07.14 13:00;1.40727;1.40739;1.40543;1.40696;33.97;19.03;32.28;38.16;40.61;-0.558;EXPLOSIVE_DOWN;-3;-82;-3;1
2026.07.14 12:00;1.41134;1.41146;1.40540;1.40728;35.22;21.96;37.25;45.60;34.69;-0.536;EXPLOSIVE_DOWN;-3;-82.3;-3;1
2026.07.14 11:00;1.41064;1.41151;1.41060;1.41134;36.67;25.33;29.78;38.08;21.73;-0.249;SOFT_DOWN;-1;-75.1;-3;1
2026.07.14 10:00;1.40843;1.41065;1.40832;1.41062;41.07;14.69;34.36;20.41;12.93;-0.300;STRONG_DOWN;-2;-78.6;-3;1
2026.07.14 09:00;1.40914;1.40915;1.40809;1.40843;41.22;7.05;39.65;6.69;11.73;-0.454;STRONG_DOWN;-2;-83.2;-3;1
2026.07.14 08:00;1.41040;1.41062;1.40894;1.40919;36.82;8.13;33.86;11.70;16.03;-0.401;STRONG_DOWN;-2;-83.1;-3;1
2026.07.14 07:00;1.41332;1.41340;1.41011;1.41041;33.05;9.38;28.35;16.79;16.64;-0.315;STRONG_DOWN;-2;-82.4;-3;1
2026.07.14 06:00;1.41309;1.41347;1.41279;1.41333;30.41;10.83;20.18;19.61;14.69;-0.108;NEUTRE;0;-71.4;-3;0
2026.07.14 05:00;1.41312;1.41327;1.41283;1.41309;30.44;7.97;23.29;13.54;12.54;-0.125;NEUTRE;0;-76.4;-3;0
2026.07.14 04:00;1.41311;1.41335;1.41281;1.41312;27.58;9.19;26.87;10.92;15.72;-0.123;NEUTRE;0;-78.9;-3;0
2026.07.14 03:00;1.41322;1.41350;1.41278;1.41311;24.29;10.61;31.00;13.16;25.24;-0.124;NEUTRE;0;-81.7;-3;0
2026.07.14 02:00;1.41425;1.41426;1.41307;1.41323;20.48;12.24;29.58;23.08;38.36;-0.115;NEUTRE;0;-84;-3;0
2026.07.14 01:00;1.41470;1.41482;1.41415;1.41424;17.25;14.12;20.17;39.47;49.19;-0.044;NEUTRE;0;;;0
2026.07.14 00:00;1.41486;1.41538;1.41440;1.41470;17.20;16.30;17.53;52.54;58.66;-0.011;NEUTRE;0;;;0
2026.07.13 23:00;1.41522;1.41529;1.41475;1.41487;19.28;18.80;14.73;55.56;65.81;-0.103;NEUTRE;0;-36.5;-1;0
2026.07.13 22:00;1.41436;1.41547;1.41433;1.41522;20.38;21.69;17.00;67.87;74.60;-0.078;NEUTRE;0;-30.4;-1;0
2026.07.13 21:00;1.41480;1.41502;1.41386;1.41494;21.65;18.96;19.61;73.99;77.53;-0.098;NEUTRE;0;-37.7;-1;0
2026.07.13 20:00;1.41544;1.41583;1.41531;1.41559;24.72;21.88;9.73;81.92;77.33;-0.052;NEUTRE;0;-23.3;0;0
2026.07.13 19:00;1.41497;1.41593;1.41488;1.41545;22.61;25.24;11.23;76.69;72.25;-0.062;NEUTRE;0;-28.4;-1;1
2026.07.13 18:00;1.41468;1.41513;1.41456;1.41498;20.18;17.40;12.96;73.38;68.61;-0.095;NEUTRE;0;-41.1;-1;1
2026.07.13 17:00;1.41480;1.41518;1.41448;1.41469;21.03;20.08;14.95;66.67;66.25;-0.116;NEUTRE;0;-48.5;-2;1
2026.07.13 16:00;1.41405;1.41544;1.41372;1.41480;22.01;23.17;17.25;65.77;65.47;-0.108;NEUTRE;0;-48.2;-2;1
2026.07.13 15:00;1.41422;1.41437;1.41325;1.41404;23.14;17.16;19.91;66.32;58.33;-0.162;SOFT_DOWN;-1;-60.8;-2;1
2026.07.13 14:00;1.41417;1.41514;1.41347;1.41421;25.57;19.81;19.95;64.31;42.75;-0.150;NEUTRE;0;-60.6;-2;1
2026.07.13 13:00;1.41337;1.41473;1.41306;1.41416;29.45;19.08;23.01;44.35;26.56;-0.153;NEUTRE;0;-62.8;-2;1
2026.07.13 12:00;1.41335;1.41411;1.41314;1.41337;32.54;16.30;26.55;19.60;15.29;-0.209;SOFT_DOWN;-1;-70.9;-3;1
2026.07.13 11:00;1.41274;1.41340;1.41243;1.41333;33.86;7.54;30.64;15.72;12.96;-0.212;SOFT_DOWN;-1;-72.6;-3;1
2026.07.13 10:00;1.41398;1.41419;1.41272;1.41273;29.76;8.71;30.75;10.56;13.89;-0.254;SOFT_DOWN;-1;-76.6;-3;1
2026.07.13 09:00;1.41348;1.41428;1.41346;1.41398;25.75;10.05;27.74;12.59;21.97;-0.166;SOFT_DOWN;-1;-71.9;-3;1
2026.07.13 08:00;1.41428;1.41434;1.41320;1.41348;22.50;11.59;32.01;18.51;30.45;-0.201;SOFT_DOWN;-1;-76.5;-3;1
2026.07.13 07:00;1.41614;1.41627;1.41417;1.41428;18.76;13.37;23.84;34.82;32.08;-0.145;NEUTRE;0;-73.7;-3;1
2026.07.13 06:00;1.41635;1.41641;1.41554;1.41614;17.32;15.43;17.47;38.02;29.44;-0.013;NEUTRE;0;-19.7;0;0
2026.07.13 05:00;1.41532;1.41642;1.41504;1.41633;19.03;17.81;20.16;23.41;32.66;0.000;NEUTRE;0;0;0;0
2026.07.13 04:00;1.41607;1.41622;1.41525;1.41532;21.00;20.54;20.92;26.90;48.43;-0.071;NEUTRE;0;-71.2;-3;0
2026.07.13 03:00;1.41675;1.41702;1.41607;1.41607;24.09;23.70;11.14;47.67;63.48;-0.018;NEUTRE;0;-44.8;-1;0
2026.07.13 02:00;1.41612;1.41674;1.41607;1.41673;22.24;22.82;12.85;70.73;76.69;0.028;NEUTRE;0;66.7;3;0
2026.07.13 01:00;1.41686;1.41739;1.41612;1.41612;21.37;26.33;13.68;72.04;82.46;-0.015;NEUTRE;0;;;0
2026.07.13 00:00;1.41633;1.41707;1.41624;1.41684;19.79;26.50;15.78;87.28;88.61;0.036;NEUTRE;0;;;0
2026.07.12 23:00;1.41689;1.41697;1.41627;1.41632;18.93;28.73;18.21;88.04;89.81;0.094;NEUTRE;0;34.1;1;0
2026.07.12 22:00;1.41535;1.41696;1.41531;1.41688;18.40;32.92;21.01;90.52;87.43;0.134;NEUTRE;0;45.2;2;0
2026.07.12 21:00;1.41499;1.41580;1.41458;1.41559;17.84;27.17;24.25;90.87;80.34;0.042;NEUTRE;0;18.3;0;0
2026.07.10 20:00;1.41554;1.41591;1.41513;1.41530;19.70;31.36;21.04;80.90;64.60;-0.097;NEUTRE;0;-38.8;-1;0
2026.07.10 19:00;1.41508;1.41572;1.41502;1.41555;19.71;32.43;24.28;69.24;45.73;-0.079;NEUTRE;0;-34.5;-1;1
2026.07.10 18:00;1.41440;1.41524;1.41429;1.41507;20.53;26.87;28.01;43.66;28.34;-0.113;NEUTRE;0;-46.1;-2;1
2026.07.10 17:00;1.41234;1.41443;1.41219;1.41439;23.36;17.89;32.32;24.30;26.44;-0.161;SOFT_DOWN;-1;-57.5;-2;1
2026.07.10 16:00;1.41329;1.41345;1.41165;1.41234;22.54;13.91;37.30;17.06;33.82;-0.306;STRONG_DOWN;-2;-72.5;-3;1
2026.07.10 15:00;1.41500;1.41540;1.41323;1.41328;18.98;16.05;29.53;37.96;42.14;-0.239;SOFT_DOWN;-1;-69.2;-3;1
2026.07.10 14:00;1.41624;1.41688;1.41489;1.41499;17.35;18.52;22.30;46.44;39.38;-0.119;NEUTRE;0;-54.6;-2;1
2026.07.10 13:00;1.41439;1.41656;1.41439;1.41625;18.59;18.89;25.73;42.01;42.78;-0.030;NEUTRE;0;-20.9;0;1
2026.07.10 12:00;1.41554;1.41583;1.41358;1.41439;19.09;16.62;29.69;29.69;57.97;-0.161;SOFT_DOWN;-1;-65.8;-3;1
2026.07.10 11:00;1.41639;1.41709;1.41535;1.41555;17.68;19.18;22.16;56.63;80.18;-0.079;NEUTRE;0;-49.9;-2;1
2026.07.10 10:00;1.41691;1.41696;1.41605;1.41638;19.30;22.13;19.38;87.59;89.86;-0.020;NEUTRE;0;-18.3;0;1
2026.07.10 09:00;1.41681;1.41697;1.41652;1.41691;21.25;25.54;14.41;96.31;88.32;0.017;NEUTRE;0;17.4;0;1
2026.07.10 08:00;1.41639;1.41684;1.41619;1.41681;20.23;25.02;16.63;85.68;79.03;0.010;NEUTRE;0;11.7;0;1
2026.07.10 07:00;1.41549;1.41656;1.41549;1.41640;20.24;22.25;19.19;82.95;68.99;-0.019;NEUTRE;0;-24.2;0;1
2026.07.10 06:00;1.41608;1.41633;1.41535;1.41550;22.22;22.36;22.14;68.45;51.42;-0.083;NEUTRE;0;-66.4;-3;0
2026.07.10 05:00;1.41550;1.41646;1.41528;1.41608;25.57;25.80;25.55;55.56;33.69;-0.042;NEUTRE;0;-54.3;-2;0
2026.07.10 04:00;1.41467;1.41571;1.41467;1.41551;29.43;19.99;29.48;30.26;19.67;-0.082;NEUTRE;0;-73.6;-3;0
2026.07.10 03:00;1.41373;1.41475;1.41364;1.41467;31.00;8.87;34.02;15.26;21.66;-0.141;NEUTRE;0;-82.7;-3;0
2026.07.10 02:00;1.41510;1.41517;1.41352;1.41373;26.75;10.23;39.25;13.50;37.55;-0.208;SOFT_DOWN;-1;-86.7;-3;0
2026.07.10 01:00;1.41607;1.41622;1.41498;1.41510;21.84;11.80;31.67;36.23;55.84;-0.111;NEUTRE;0;;;0
2026.07.10 00:00;1.41667;1.41718;1.41596;1.41606;18.17;13.62;24.39;62.93;66.03;-0.043;NEUTRE;0;;;0
2026.07.09 23:00;1.41687;1.41697;1.41669;1.41669;16.61;15.72;18.94;68.36;67.36;-0.006;NEUTRE;0;-2.5;0;0
2026.07.09 22:00;1.41677;1.41727;1.41531;1.41688;17.73;18.13;21.85;66.79;64.68;0.008;NEUTRE;0;3.4;0;0
2026.07.09 21:00;1.41653;1.41686;1.41543;1.41639;19.03;17.71;25.21;66.94;57.74;-0.027;NEUTRE;0;-12;0;0
2026.07.09 20:00;1.41716;1.41721;1.41666;1.41673;19.27;20.43;15.86;60.30;45.40;-0.003;NEUTRE;0;-1.4;0;0
2026.07.09 19:00;1.41663;1.41723;1.41660;1.41717;20.30;23.57;18.29;45.97;31.92;0.028;NEUTRE;0;13.7;0;1
2026.07.09 18:00;1.41639;1.41688;1.41639;1.41663;21.48;18.65;21.11;29.94;24.93;-0.010;NEUTRE;0;-5.3;0;1
2026.07.09 17:00;1.41641;1.41656;1.41595;1.41639;23.83;11.47;24.36;19.86;28.26;-0.027;NEUTRE;0;-14.7;0;1
2026.07.09 16:00;1.41632;1.41672;1.41578;1.41638;21.97;13.24;28.10;25.00;39.53;-0.028;NEUTRE;0;-16.2;0;1
2026.07.09 15:00;1.41708;1.41746;1.41631;1.41632;19.82;15.28;23.75;39.92;49.62;-0.032;NEUTRE;0;-19.4;0;1
2026.07.09 14:00;1.41794;1.41794;1.41664;1.41708;19.53;17.63;22.99;53.66;54.83;0.022;NEUTRE;0;14.6;0;1
2026.07.09 13:00;1.41759;1.41814;1.41679;1.41791;20.50;20.34;24.75;55.28;57.04;0.080;NEUTRE;0;45.5;2;1
2026.07.09 12:00;1.41740;1.41760;1.41616;1.41759;22.14;17.31;28.56;55.54;63.97;0.058;NEUTRE;0;38.7;1;1
2026.07.09 11:00;1.41748;1.41834;1.41734;1.41740;21.78;19.98;20.35;60.31;73.50;0.044;NEUTRE;0;33.5;1;1
2026.07.09 10:00;1.41767;1.41802;1.41729;1.41751;24.99;18.13;23.48;76.06;81.97;0.052;NEUTRE;0;40.7;1;1
2026.07.09 09:00;1.41874;1.41889;1.41762;1.41766;26.85;20.92;20.14;84.12;80.30;0.063;NEUTRE;0;49.2;2;1
2026.07.09 08:00;1.41776;1.41875;1.41768;1.41875;30.69;22.44;23.24;85.73;68.57;0.140;NEUTRE;0;71;3;1
2026.07.09 07:00;1.41598;1.41813;1.41592;1.41775;35.14;16.98;26.81;71.05;56.36;0.069;NEUTRE;0;58.5;2;1
2026.07.09 06:00;1.41638;1.41668;1.41521;1.41598;37.09;9.49;30.94;48.92;45.99;-0.056;NEUTRE;0;-57.1;-2;0
2026.07.09 05:00;1.41632;1.41641;1.41590;1.41637;34.64;10.95;28.48;49.10;42.10;-0.028;NEUTRE;0;-42.8;-1;0
2026.07.09 04:00;1.41653;1.41674;1.41631;1.41633;33.13;12.64;20.49;39.94;36.99;-0.031;NEUTRE;0;-52.1;-2;0
2026.07.09 03:00;1.41648;1.41657;1.41610;1.41653;34.58;8.50;23.64;37.25;38.13;-0.017;NEUTRE;0;-43.2;-1;0
2026.07.09 02:00;1.41626;1.41674;1.41609;1.41647;32.66;9.81;27.28;33.76;44.01;-0.021;NEUTRE;0;-60.1;-2;0
2026.07.09 01:00;1.41626;1.41677;1.41619;1.41625;30.44;11.32;29.11;43.37;56.35;-0.037;NEUTRE;0;;;0
2026.07.09 00:00;1.41677;1.41683;1.41598;1.41627;28.35;13.06;33.59;54.92;62.78;-0.035;NEUTRE;0;;;0
2026.07.08 23:00;1.41694;1.41705;1.41672;1.41677;25.94;15.07;25.36;70.78;57.55;-0.256;SOFT_DOWN;-1;-61.5;-2;0
