time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 18:45;1.40715;1.40720;1.40682;1.40687;16.26;18.29;12.25;62.70;70.68;-0.565;EXPLOSIVE_DOWN;-3;-78.7;-3;1
2026.07.14 18:30;1.40710;1.40739;1.40675;1.40715;15.72;21.11;14.14;75.00;74.04;-0.545;EXPLOSIVE_DOWN;-3;-78.4;-3;1
2026.07.14 18:15;1.40691;1.40727;1.40656;1.40709;15.10;21.47;16.31;74.33;73.07;-0.549;EXPLOSIVE_DOWN;-3;-78.6;-3;1
2026.07.14 18:00;1.40685;1.40702;1.40663;1.40692;15.32;19.35;18.82;72.79;72.40;-0.561;EXPLOSIVE_DOWN;-3;-79;-3;1
2026.07.14 17:45;1.40682;1.40695;1.40651;1.40684;17.47;19.57;21.72;72.08;65.75;-0.567;EXPLOSIVE_DOWN;-3;-79.3;-3;1
2026.07.14 17:30;1.40686;1.40703;1.40671;1.40682;19.35;22.58;18.07;72.33;56.25;-0.568;EXPLOSIVE_DOWN;-3;-79.5;-3;1
2026.07.14 17:15;1.40681;1.40727;1.40673;1.40686;20.62;26.06;19.88;52.85;48.84;-0.565;EXPLOSIVE_DOWN;-3;-79.5;-3;1
2026.07.14 17:00;1.40591;1.40696;1.40583;1.40683;21.73;21.23;22.94;43.57;55.05;-0.568;EXPLOSIVE_DOWN;-3;-79.8;-3;1
2026.07.14 16:45;1.40617;1.40631;1.40573;1.40591;24.47;15.65;26.47;50.08;68.66;-0.633;EXPLOSIVE_DOWN;-3;-80.9;-3;1
2026.07.14 16:30;1.40663;1.40669;1.40595;1.40617;24.29;18.06;24.71;71.49;79.73;-0.614;EXPLOSIVE_DOWN;-3;-80.8;-3;1
2026.07.14 16:15;1.40690;1.40713;1.40657;1.40664;25.63;20.84;15.62;84.40;78.09;-0.581;EXPLOSIVE_DOWN;-3;-80.4;-3;1
2026.07.14 16:00;1.40671;1.40724;1.40668;1.40690;27.37;24.04;15.00;83.31;61.67;-0.563;EXPLOSIVE_DOWN;-3;-80.3;-3;1
2026.07.14 15:45;1.40618;1.40691;1.40582;1.40671;28.02;18.67;17.31;66.56;40.73;-0.576;EXPLOSIVE_DOWN;-3;-80.6;-3;1
2026.07.14 15:30;1.40546;1.40653;1.40528;1.40620;31.75;16.18;19.98;35.12;24.70;-0.612;EXPLOSIVE_DOWN;-3;-81.3;-3;1
2026.07.14 15:15;1.40470;1.40567;1.40470;1.40546;35.02;8.09;23.05;20.51;29.22;-0.664;EXPLOSIVE_DOWN;-3;-82.1;-3;1
2026.07.14 15:00;1.40562;1.40577;1.40469;1.40470;33.02;9.33;26.59;18.48;36.56;-0.718;EXPLOSIVE_DOWN;-3;-82.8;-3;1
2026.07.14 14:45;1.40569;1.40592;1.40534;1.40560;30.71;10.77;21.43;48.68;49.25;-0.654;EXPLOSIVE_DOWN;-3;-82.2;-3;1
2026.07.14 14:30;1.40674;1.40681;1.40529;1.40569;30.34;12.43;24.72;42.51;45.74;-0.648;EXPLOSIVE_DOWN;-3;-82.3;-3;1
2026.07.14 14:15;1.40562;1.40678;1.40509;1.40674;29.92;14.04;28.53;56.57;40.69;-0.574;EXPLOSIVE_DOWN;-3;-81.5;-3;1
2026.07.14 14:00;1.40697;1.40697;1.40551;1.40562;29.28;16.19;29.09;38.15;27.52;-0.653;EXPLOSIVE_DOWN;-3;-82.6;-3;1
2026.07.14 13:45;1.40638;1.40698;1.40636;1.40696;29.41;18.69;24.61;27.34;21.29;-0.558;EXPLOSIVE_DOWN;-3;-81.5;-3;1
2026.07.14 13:30;1.40585;1.40659;1.40553;1.40629;31.82;12.87;28.40;17.07;18.03;-0.606;EXPLOSIVE_DOWN;-3;-82.3;-3;1
