time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 18:00;0.80933;0.80989;0.80906;0.80938;22.57;17.69;19.09;70.26;54.10;-0.638;STRONG_DOWN;-2;-73.7;-3;1
2026.07.14 17:00;0.80863;0.80979;0.80847;0.80933;25.46;18.56;22.03;55.05;39.72;-0.645;STRONG_DOWN;-2;-74.7;-3;1
2026.07.14 16:00;0.80904;0.80940;0.80843;0.80865;28.07;16.87;25.42;36.99;28.18;-0.728;STRONG_DOWN;-2;-77.2;-3;1
2026.07.14 15:00;0.80755;0.80924;0.80673;0.80905;29.27;16.93;29.33;27.12;21.74;-0.679;STRONG_DOWN;-2;-77.1;-3;1
2026.07.14 14:00;0.80725;0.80786;0.80601;0.80755;29.65;11.08;33.84;20.43;20.19;-0.863;EXPLOSIVE_DOWN;-3;-80.4;-3;1
2026.07.14 13:00;0.80803;0.80833;0.80702;0.80726;26.42;12.78;30.65;17.67;18.82;-0.899;EXPLOSIVE_DOWN;-3;-81.5;-3;1
2026.07.14 12:00;0.81155;0.81163;0.80625;0.80803;24.15;14.75;35.37;22.46;19.45;-0.804;EXPLOSIVE_DOWN;-3;-81.2;-3;1
2026.07.14 11:00;0.81276;0.81296;0.81118;0.81154;21.54;17.02;26.71;16.34;17.15;-0.373;SOFT_DOWN;-1;-73;-3;1
2026.07.14 10:00;0.81190;0.81286;0.81187;0.81277;21.44;19.63;24.85;19.57;25.12;-0.222;NEUTRE;0;-65;-2;1
2026.07.14 09:00;0.81254;0.81256;0.81173;0.81191;22.94;17.99;28.68;15.55;36.75;-0.328;SOFT_DOWN;-1;-74.1;-3;1
2026.07.14 08:00;0.81363;0.81378;0.81206;0.81256;22.94;20.76;26.97;40.25;49.39;-0.248;SOFT_DOWN;-1;-71.5;-3;1
2026.07.14 07:00;0.81449;0.81477;0.81364;0.81365;24.47;23.95;16.99;54.46;45.54;-0.114;NEUTRE;0;-57.5;-2;1
2026.07.14 06:00;0.81374;0.81449;0.81361;0.81448;25.62;23.83;19.60;53.46;35.52;-0.012;NEUTRE;0;-10.9;0;0
2026.07.14 05:00;0.81381;0.81387;0.81325;0.81376;28.06;16.65;22.62;28.71;27.81;-0.101;NEUTRE;0;-62.8;-2;0
2026.07.14 04:00;0.81352;0.81408;0.81345;0.81380;30.04;19.22;21.14;24.39;33.97;-0.096;NEUTRE;0;-66.6;-3;0
2026.07.14 03:00;0.81370;0.81390;0.81319;0.81352;33.93;17.78;24.39;30.31;47.87;-0.130;NEUTRE;0;-76.5;-3;0
2026.07.14 02:00;0.81417;0.81417;0.81340;0.81370;36.74;20.51;23.59;47.19;64.58;-0.108;NEUTRE;0;-79.1;-3;0
2026.07.14 01:00;0.81453;0.81457;0.81407;0.81417;41.32;23.67;13.83;66.11;70.45;-0.050;NEUTRE;0;;;0
2026.07.14 00:00;0.81458;0.81513;0.81410;0.81451;43.64;27.31;15.04;80.43;72.71;-0.009;NEUTRE;0;;;0
2026.07.13 23:00;0.81474;0.81479;0.81451;0.81460;45.90;31.51;11.23;64.81;71.70;0.646;STRONG_UP;2;69.7;3;0
2026.07.13 22:00;0.81335;0.81477;0.81323;0.81473;45.66;35.26;12.95;72.90;80.37;0.662;STRONG_UP;2;71;3;0
2026.07.13 21:00;0.81417;0.81419;0.81358;0.81361;45.56;34.89;14.95;77.38;87.39;0.524;STRONG_UP;2;67.4;3;0
2026.07.13 20:00;0.81443;0.81486;0.81439;0.81469;46.42;40.25;6.02;90.83;92.52;0.657;STRONG_UP;2;72.5;3;0
2026.07.13 19:00;0.81402;0.81459;0.81398;0.81442;42.18;37.61;6.95;93.96;93.46;0.624;STRONG_UP;2;72.5;3;1
2026.07.13 18:00;0.81413;0.81456;0.81399;0.81402;38.08;42.64;8.01;92.76;91.22;0.575;STRONG_UP;2;72;3;1
2026.07.13 17:00;0.81352;0.81413;0.81346;0.81413;33.42;37.59;9.25;93.66;89.46;0.588;STRONG_UP;2;73.3;3;1
2026.07.13 16:00;0.81228;0.81396;0.81217;0.81352;29.25;39.47;10.67;87.24;85.54;0.513;STRONG_UP;2;72.1;3;1
2026.07.13 15:00;0.81170;0.81270;0.81165;0.81228;24.91;34.71;12.31;87.49;83.68;0.360;SOFT_UP;1;66.6;3;1
2026.07.13 14:00;0.81078;0.81242;0.81059;0.81169;21.41;35.95;14.21;81.89;76.94;0.287;SOFT_UP;1;63.2;2;1
2026.07.13 13:00;0.80956;0.81095;0.80929;0.81078;18.04;29.13;16.39;81.67;70.92;0.174;NEUTRE;0;52.2;2;1
2026.07.13 12:00;0.80951;0.81038;0.80924;0.80956;16.51;28.32;18.91;67.25;59.13;0.023;NEUTRE;0;10.5;0;1
2026.07.13 11:00;0.80892;0.80961;0.80869;0.80950;15.98;22.29;21.82;63.84;48.15;0.016;NEUTRE;0;8;0;1
2026.07.13 10:00;0.80924;0.81005;0.80892;0.80893;18.28;25.72;21.33;46.30;33.17;-0.054;NEUTRE;0;-27.5;-1;1
2026.07.13 09:00;0.80815;0.80949;0.80814;0.80925;19.66;22.05;24.62;34.30;25.81;-0.015;NEUTRE;0;-9.1;0;1
2026.07.13 08:00;0.80863;0.80869;0.80742;0.80815;21.84;16.33;28.40;18.91;22.94;-0.151;NEUTRE;0;-61.2;-2;1
2026.07.13 07:00;0.80923;0.80962;0.80845;0.80861;21.04;18.84;20.30;24.21;26.39;-0.094;NEUTRE;0;-52.3;-2;1
2026.07.13 06:00;0.80989;0.81035;0.80891;0.80927;23.71;21.74;17.37;25.71;33.83;-0.012;NEUTRE;0;-10.9;0;0
2026.07.13 05:00;0.80934;0.81001;0.80908;0.80987;25.64;21.45;20.04;29.24;47.80;0.062;NEUTRE;0;50.1;2;0
2026.07.13 04:00;0.80976;0.80990;0.80921;0.80933;29.06;24.75;20.97;46.53;65.50;-0.005;NEUTRE;0;-6.9;0;0
2026.07.13 03:00;0.81017;0.81052;0.80976;0.80977;32.26;28.56;11.94;67.62;76.97;0.049;NEUTRE;0;57.6;2;0
2026.07.13 02:00;0.80975;0.81020;0.80972;0.81017;30.91;26.48;13.77;82.35;83.11;0.099;NEUTRE;0;78.2;3;0
2026.07.13 01:00;0.81016;0.81081;0.80976;0.80978;30.81;30.55;14.61;80.95;81.59;0.051;NEUTRE;0;;;0
2026.07.13 00:00;0.80937;0.81021;0.80925;0.81015;30.12;26.46;16.86;86.04;81.87;0.096;NEUTRE;0;;;0
2026.07.12 23:00;0.80988;0.81031;0.80937;0.80937;31.34;30.53;17.53;77.78;80.59;0.273;SOFT_UP;1;48.8;2;0
2026.07.12 22:00;0.80809;0.81023;0.80806;0.80985;32.00;33.92;20.23;81.81;84.07;0.332;SOFT_UP;1;55.5;2;0
2026.07.12 21:00;0.80717;0.80850;0.80675;0.80817;33.03;26.87;23.34;82.18;85.68;0.124;NEUTRE;0;29.6;1;0
2026.07.10 20:00;0.80856;0.80889;0.80815;0.80842;37.03;31.00;14.62;88.22;81.79;0.237;SOFT_UP;1;48.8;2;0
2026.07.10 19:00;0.80845;0.80881;0.80842;0.80856;37.21;35.77;11.26;86.64;67.16;0.254;SOFT_UP;1;52.2;2;1
2026.07.10 18:00;0.80815;0.80877;0.80810;0.80845;34.91;39.70;12.99;70.50;51.84;0.241;SOFT_UP;1;52.2;2;1
2026.07.10 17:00;0.80711;0.80821;0.80704;0.80815;32.48;32.94;14.99;44.34;46.00;0.203;NEUTRE;0;49;2;1
2026.07.10 16:00;0.80627;0.80711;0.80588;0.80711;31.72;23.55;17.29;40.69;57.21;0.074;NEUTRE;0;24;0;1
2026.07.10 15:00;0.80791;0.80802;0.80615;0.80624;34.24;27.17;16.57;52.97;71.09;-0.033;NEUTRE;0;-12;0;1
2026.07.10 14:00;0.80781;0.80874;0.80726;0.80790;35.78;31.35;9.99;77.97;81.09;0.172;NEUTRE;0;49.8;2;1
2026.07.10 13:00;0.80696;0.80803;0.80695;0.80781;33.33;28.80;11.53;82.33;85.33;0.161;NEUTRE;0;50;2;1
2026.07.10 12:00;0.80667;0.80756;0.80598;0.80697;31.88;26.53;13.30;82.98;89.66;0.057;NEUTRE;0;24.6;0;1
2026.07.10 11:00;0.80660;0.80711;0.80644;0.80669;31.67;30.61;10.87;90.68;93.83;0.022;NEUTRE;0;10.9;0;1
2026.07.10 10:00;0.80682;0.80686;0.80621;0.80659;29.22;29.58;12.54;95.32;94.00;0.010;NEUTRE;0;5.5;0;1
2026.07.10 09:00;0.80626;0.80681;0.80609;0.80681;27.49;32.95;14.47;95.50;88.17;0.037;NEUTRE;0;21.6;0;1
2026.07.10 08:00;0.80535;0.80634;0.80488;0.80625;25.73;27.97;16.70;91.17;76.07;-0.032;NEUTRE;0;-21.1;0;1
2026.07.10 07:00;0.80496;0.80560;0.80494;0.80535;25.81;24.48;19.27;77.84;58.85;-0.144;NEUTRE;0;-63.2;-2;1
2026.07.10 06:00;0.80473;0.80527;0.80425;0.80497;27.94;20.55;22.23;59.21;40.51;-0.191;NEUTRE;0;-71.9;-3;0
2026.07.10 05:00;0.80460;0.80509;0.80430;0.80473;31.64;21.00;25.65;39.50;24.82;-0.221;NEUTRE;0;-76.8;-3;0
2026.07.10 04:00;0.80382;0.80481;0.80382;0.80460;34.97;18.78;29.60;22.81;14.29;-0.237;SOFT_DOWN;-1;-80.1;-3;0
2026.07.10 03:00;0.80324;0.80394;0.80313;0.80382;36.91;8.15;34.15;12.15;14.92;-0.334;SOFT_DOWN;-1;-84.7;-3;0
2026.07.10 02:00;0.80448;0.80450;0.80301;0.80324;33.13;9.40;39.41;7.92;26.81;-0.405;SOFT_DOWN;-1;-87.1;-3;0
2026.07.10 01:00;0.80565;0.80586;0.80425;0.80448;28.77;10.85;32.67;24.70;42.94;-0.252;SOFT_DOWN;-1;;;0
2026.07.10 00:00;0.80651;0.80680;0.80545;0.80564;25.49;12.52;26.22;47.80;55.80;-0.108;NEUTRE;0;;;0
2026.07.09 23:00;0.80655;0.80665;0.80650;0.80652;23.97;14.45;18.29;56.31;63.31;-0.192;NEUTRE;0;-38.8;-1;0
2026.07.09 22:00;0.80620;0.80696;0.80584;0.80655;25.85;16.67;21.11;63.30;69.44;-0.188;NEUTRE;0;-39.5;-1;0
2026.07.09 21:00;0.80549;0.80653;0.80549;0.80612;28.02;13.33;24.35;70.33;64.51;-0.241;SOFT_DOWN;-1;-47.9;-2;0
2026.07.09 20:00;0.80697;0.80700;0.80661;0.80696;27.83;15.38;16.38;74.70;51.21;-0.137;NEUTRE;0;-33.4;-1;0
2026.07.09 19:00;0.80656;0.80710;0.80648;0.80696;31.62;17.74;18.90;48.51;32.41;-0.137;NEUTRE;0;-34.8;-1;1
2026.07.09 18:00;0.80608;0.80670;0.80600;0.80655;36.00;10.55;21.81;30.41;24.47;-0.188;NEUTRE;0;-45.2;-2;1
2026.07.09 17:00;0.80644;0.80648;0.80577;0.80608;36.18;7.33;25.16;18.32;22.99;-0.246;SOFT_DOWN;-1;-54.4;-2;1
2026.07.09 16:00;0.80627;0.80654;0.80597;0.80644;33.31;8.46;24.70;24.68;33.84;-0.202;NEUTRE;0;-50.6;-2;1
2026.07.09 15:00;0.80672;0.80711;0.80623;0.80626;30.90;9.76;21.48;25.97;46.44;-0.224;NEUTRE;0;-55.2;-2;1
2026.07.09 14:00;0.80678;0.80733;0.80604;0.80672;29.89;11.27;24.79;50.88;64.77;-0.167;NEUTRE;0;-49;-2;1
2026.07.09 13:00;0.80750;0.80757;0.80667;0.80679;28.71;13.00;21.09;62.48;73.25;-0.158;NEUTRE;0;-49.5;-2;1
2026.07.09 12:00;0.80728;0.80774;0.80628;0.80750;29.48;15.00;24.33;80.95;78.95;-0.071;NEUTRE;0;-29.7;-1;1
2026.07.09 11:00;0.80753;0.80793;0.80723;0.80729;30.37;17.31;18.06;76.31;73.21;-0.097;NEUTRE;0;-40.4;-1;1
2026.07.09 10:00;0.80680;0.80775;0.80677;0.80753;34.71;16.01;20.84;79.61;64.48;-0.067;NEUTRE;0;-32.9;-1;1
2026.07.09 09:00;0.80698;0.80762;0.80673;0.80681;38.03;16.44;24.05;63.70;48.42;-0.156;NEUTRE;0;-59.1;-2;1
2026.07.09 08:00;0.80631;0.80698;0.80581;0.80698;40.99;7.90;27.75;50.14;34.28;-0.135;NEUTRE;0;-58.4;-2;1
2026.07.09 07:00;0.80590;0.80689;0.80586;0.80631;38.73;7.93;32.02;31.42;23.25;-0.218;NEUTRE;0;-71.6;-3;1
