time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 18:45;0.80963;0.80964;0.80935;0.80938;22.18;22.15;11.58;58.65;60.27;-0.638;STRONG_DOWN;-2;-73;-3;1
2026.07.14 18:30;0.80947;0.80989;0.80929;0.80963;20.77;25.55;13.36;61.76;60.56;-0.608;STRONG_DOWN;-2;-72.5;-3;1
2026.07.14 18:15;0.80922;0.80956;0.80906;0.80946;19.14;21.02;15.41;60.40;60.02;-0.629;STRONG_DOWN;-2;-73.2;-3;1
2026.07.14 18:00;0.80933;0.80935;0.80918;0.80921;19.71;17.80;17.78;59.50;62.73;-0.659;STRONG_DOWN;-2;-74.2;-3;1
2026.07.14 17:45;0.80921;0.80935;0.80897;0.80933;22.74;20.54;20.52;60.15;63.69;-0.645;STRONG_DOWN;-2;-74.1;-3;1
2026.07.14 17:30;0.80922;0.80936;0.80910;0.80921;26.23;23.70;18.41;68.53;64.76;-0.659;STRONG_DOWN;-2;-74.6;-3;1
2026.07.14 17:15;0.80943;0.80979;0.80916;0.80922;28.34;27.34;17.69;62.40;62.59;-0.658;STRONG_DOWN;-2;-74.8;-3;1
2026.07.14 17:00;0.80863;0.80946;0.80847;0.80943;29.40;23.49;20.42;63.36;66.46;-0.632;STRONG_DOWN;-2;-74.4;-3;1
2026.07.14 16:45;0.80874;0.80896;0.80850;0.80865;32.85;19.33;23.56;62.02;72.93;-0.728;STRONG_DOWN;-2;-76.6;-3;1
2026.07.14 16:30;0.80874;0.80879;0.80843;0.80874;36.39;16.62;27.18;73.99;81.62;-0.717;STRONG_DOWN;-2;-76.6;-3;1
2026.07.14 16:15;0.80892;0.80898;0.80869;0.80874;38.27;19.18;20.25;82.79;87.68;-0.717;STRONG_DOWN;-2;-76.8;-3;1
2026.07.14 16:00;0.80904;0.80940;0.80890;0.80892;43.74;22.13;12.23;88.08;86.17;-0.695;STRONG_DOWN;-2;-76.6;-3;1
2026.07.14 15:45;0.80855;0.80924;0.80820;0.80905;46.04;20.61;14.11;92.17;81.57;-0.679;STRONG_DOWN;-2;-76.5;-3;1
2026.07.14 15:30;0.80777;0.80881;0.80770;0.80856;50.24;17.42;16.28;78.26;73.38;-0.739;STRONG_DOWN;-2;-77.7;-3;1
2026.07.14 15:15;0.80689;0.80786;0.80685;0.80778;57.45;6.93;18.78;74.29;71.51;-0.835;EXPLOSIVE_DOWN;-3;-79.3;-3;1
2026.07.14 15:00;0.80755;0.80780;0.80673;0.80689;59.20;7.09;21.67;67.60;62.84;-0.944;EXPLOSIVE_DOWN;-3;-80.6;-3;1
2026.07.14 14:45;0.80721;0.80786;0.80707;0.80755;60.50;8.18;20.12;72.63;52.60;-0.863;EXPLOSIVE_DOWN;-3;-79.9;-3;1
2026.07.14 14:30;0.80743;0.80765;0.80627;0.80720;63.32;5.34;23.21;48.30;35.27;-0.906;EXPLOSIVE_DOWN;-3;-80.6;-3;1
2026.07.14 14:15;0.80639;0.80743;0.80639;0.80742;63.43;3.71;26.78;36.88;26.05;-0.879;EXPLOSIVE_DOWN;-3;-80.5;-3;1
2026.07.14 14:00;0.80725;0.80736;0.80601;0.80639;61.55;3.25;30.90;20.65;21.87;-1.005;EXPLOSIVE_DOWN;-3;-81.8;-3;1
2026.07.14 13:45;0.80723;0.80756;0.80702;0.80726;58.56;3.75;24.15;20.63;24.49;-0.899;EXPLOSIVE_DOWN;-3;-81;-3;1
2026.07.14 13:30;0.80727;0.80761;0.80703;0.80722;56.32;4.33;27.58;24.31;25.95;-0.904;EXPLOSIVE_DOWN;-3;-81.2;-3;1
2026.07.14 13:15;0.80809;0.80822;0.80703;0.80725;53.77;4.99;31.82;28.52;23.89;-0.900;EXPLOSIVE_DOWN;-3;-81.3;-3;1
2026.07.14 13:00;0.80803;0.80833;0.80727;0.80809;50.83;5.76;33.61;25.03;17.51;-0.797;STRONG_DOWN;-2;-80.4;-3;1
2026.07.14 12:45;0.80681;0.80844;0.80676;0.80803;47.77;6.64;38.78;18.12;13.43;-0.804;EXPLOSIVE_DOWN;-3;-80.7;-3;1
2026.07.14 12:30;0.81100;0.81121;0.80625;0.80682;44.24;7.67;44.75;9.40;12.40;-0.953;EXPLOSIVE_DOWN;-3;-82.3;-3;1
2026.07.14 12:15;0.81148;0.81158;0.81100;0.81100;40.16;8.85;36.90;12.77;13.68;-0.439;SOFT_DOWN;-1;-73.9;-3;1
2026.07.14 12:00;0.81155;0.81163;0.81132;0.81148;36.90;10.21;34.09;15.05;16.45;-0.381;SOFT_DOWN;-1;-71.9;-3;1
