time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 16:00;162.137;162.282;162.102;162.214;28.83;16.34;19.55;59.80;56.62;-0.124;NEUTRE;0;-32.9;-1;1
2026.07.14 12:00;162.193;162.229;161.603;162.139;31.89;14.33;22.56;55.68;61.67;-0.171;NEUTRE;0;-50;-2;1
2026.07.14 08:00;162.336;162.382;162.043;162.193;33.36;16.53;15.22;54.38;71.25;-0.137;NEUTRE;0;-55.1;-2;1
2026.07.14 04:00;162.285;162.367;162.237;162.338;37.85;19.07;8.75;74.95;83.60;-0.048;NEUTRE;0;-45.1;-2;0
2026.07.14 00:00;162.416;162.464;162.224;162.286;37.97;22.01;10.10;84.42;86.40;-0.080;NEUTRE;0;;;0
2026.07.13 20:00;162.446;162.477;162.314;162.417;38.11;25.40;5.89;91.44;84.03;0.330;SOFT_UP;1;54.1;2;0
2026.07.13 16:00;162.319;162.475;162.305;162.447;34.37;29.11;6.79;83.34;79.49;0.349;SOFT_UP;1;61.3;2;1
2026.07.13 12:00;162.117;162.407;162.068;162.319;30.10;27.44;7.84;77.31;78.54;0.270;SOFT_UP;1;62;2;1
2026.07.13 08:00;162.097;162.140;161.974;162.115;26.18;19.54;9.04;77.81;78.51;0.144;NEUTRE;0;56.4;2;1
2026.07.13 04:00;162.065;162.353;161.832;162.103;24.55;22.55;10.43;80.49;71.43;0.137;NEUTRE;0;70.8;3;0
2026.07.13 00:00;161.882;162.167;161.876;162.064;22.68;20.53;12.04;77.24;54.60;0.112;NEUTRE;0;;;0
2026.07.12 20:00;161.674;162.063;161.639;161.882;22.16;18.19;13.89;56.54;39.13;0.129;NEUTRE;0;28.3;1;0
2026.07.10 20:00;161.732;161.757;161.647;161.651;23.50;9.88;16.03;30.03;29.97;-0.437;SOFT_DOWN;-1;-61.3;-2;0
2026.07.10 16:00;161.314;161.743;161.296;161.731;23.47;9.44;18.49;30.82;31.25;-0.388;SOFT_DOWN;-1;-63.8;-2;1
2026.07.10 12:00;161.844;161.889;161.275;161.315;22.10;10.89;21.34;29.06;30.48;-0.644;STRONG_DOWN;-2;-77.4;-3;1
2026.07.10 08:00;161.691;161.879;161.537;161.843;20.51;12.57;18.05;33.88;29.87;-0.319;SOFT_DOWN;-1;-73.3;-3;1
2026.07.10 04:00;161.515;161.769;161.403;161.691;20.92;9.56;20.83;28.51;28.80;-0.413;SOFT_DOWN;-1;-83.4;-3;0
2026.07.10 00:00;162.361;162.418;161.282;161.515;18.42;11.03;24.04;27.24;31.21;-0.521;SOFT_DOWN;-1;;;0
2026.07.09 20:00;162.400;162.422;162.285;162.362;15.55;12.72;14.15;30.66;31.76;-0.107;NEUTRE;0;-24.1;0;0
2026.07.09 16:00;162.283;162.409;162.252;162.382;17.13;13.22;16.33;35.75;35.32;-0.095;NEUTRE;0;-26.4;-1;1
2026.07.09 12:00;162.471;162.471;162.250;162.284;18.14;15.25;18.84;28.88;40.36;-0.155;NEUTRE;0;-47.2;-2;1
2026.07.09 08:00;162.343;162.504;162.296;162.470;19.32;17.60;18.54;41.32;51.72;-0.041;NEUTRE;0;-23.2;0;1
2026.07.09 04:00;162.447;162.459;162.242;162.342;21.89;16.98;21.39;50.88;63.94;-0.119;NEUTRE;0;-68.1;-3;0
2026.07.09 00:00;162.536;162.568;162.356;162.447;23.49;19.59;16.59;62.97;75.66;-0.055;NEUTRE;0;;;0
2026.07.08 20:00;162.471;162.639;162.463;162.537;25.83;22.61;11.38;77.98;83.40;0.108;NEUTRE;0;24.3;0;0
