time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 18:45;162.250;162.251;162.211;162.214;30.38;25.02;11.81;65.00;65.22;-0.124;NEUTRE;0;-28.9;-1;1
2026.07.14 18:30;162.207;162.282;162.195;162.250;29.54;28.87;13.63;67.63;61.92;-0.102;NEUTRE;0;-24.8;0;1
2026.07.14 18:15;162.177;162.212;162.157;162.205;28.56;20.94;15.72;63.02;57.98;-0.130;NEUTRE;0;-30.8;-1;1
2026.07.14 18:00;162.186;162.197;162.174;162.177;30.77;24.16;13.39;55.12;57.75;-0.147;NEUTRE;0;-34.3;-1;1
2026.07.14 17:45;162.159;162.186;162.145;162.186;31.09;20.52;15.45;55.81;59.80;-0.142;NEUTRE;0;-33.8;-1;1
2026.07.14 17:30;162.173;162.193;162.156;162.159;33.71;23.67;13.70;62.32;64.05;-0.158;NEUTRE;0;-37.1;-1;1
2026.07.14 17:15;162.190;162.231;162.171;162.177;34.79;27.32;9.57;61.26;67.49;-0.147;NEUTRE;0;-35.5;-1;1
2026.07.14 17:00;162.109;162.197;162.108;162.190;32.74;22.80;11.04;68.57;74.50;-0.139;NEUTRE;0;-34.4;-1;1
2026.07.14 16:45;162.130;162.148;162.102;162.109;32.43;17.84;12.74;72.64;80.79;-0.189;NEUTRE;0;-43.3;-1;1
2026.07.14 16:30;162.154;162.156;162.103;162.130;34.85;20.58;14.36;82.31;86.62;-0.176;NEUTRE;0;-41.7;-1;1
2026.07.14 16:15;162.148;162.163;162.129;162.155;37.47;23.75;9.03;87.42;87.36;-0.161;NEUTRE;0;-39.6;-1;1
2026.07.14 16:00;162.137;162.196;162.131;162.148;36.33;27.40;9.51;90.13;81.93;-0.165;NEUTRE;0;-40.8;-1;1
2026.07.14 15:45;162.087;162.165;162.038;162.139;34.46;24.28;10.97;84.53;72.41;-0.171;NEUTRE;0;-42.2;-1;1
2026.07.14 15:30;161.944;162.103;161.940;162.088;33.95;20.50;12.66;71.14;65.02;-0.202;NEUTRE;0;-47.5;-2;1
2026.07.14 15:15;161.921;161.966;161.901;161.945;35.54;10.73;14.61;61.56;66.82;-0.290;SOFT_DOWN;-1;-57.8;-2;1
2026.07.14 15:00;161.965;162.025;161.871;161.920;38.65;12.38;16.86;62.35;67.93;-0.305;SOFT_DOWN;-1;-59.5;-2;1
2026.07.14 14:45;161.941;161.971;161.920;161.965;42.24;8.89;19.45;76.56;71.70;-0.278;SOFT_DOWN;-1;-57.6;-2;1
2026.07.14 14:30;161.984;162.011;161.820;161.941;43.00;10.26;22.44;64.88;67.76;-0.292;SOFT_DOWN;-1;-59.3;-2;1
2026.07.14 14:15;161.881;161.991;161.878;161.983;43.88;11.83;21.22;73.66;65.40;-0.267;SOFT_DOWN;-1;-57.5;-2;1
2026.07.14 14:00;161.922;161.930;161.844;161.881;46.26;5.35;24.49;64.74;57.92;-0.329;SOFT_DOWN;-1;-63;-2;1
2026.07.14 13:45;161.946;161.962;161.906;161.921;43.51;6.17;17.16;57.79;51.92;-0.305;SOFT_DOWN;-1;-61.7;-2;1
2026.07.14 13:30;161.867;161.973;161.848;161.945;42.96;7.12;19.80;51.23;45.71;-0.290;SOFT_DOWN;-1;-60.9;-2;1
2026.07.14 13:15;161.914;161.965;161.851;161.867;42.32;7.23;22.85;46.75;38.97;-0.338;SOFT_DOWN;-1;-64.9;-2;1
2026.07.14 13:00;161.905;161.951;161.827;161.915;40.85;6.46;26.36;39.16;29.94;-0.308;SOFT_DOWN;-1;-63.2;-2;1
2026.07.14 12:45;161.728;161.944;161.689;161.905;37.80;6.58;30.42;30.99;22.96;-0.315;SOFT_DOWN;-1;-64.2;-2;1
2026.07.14 12:30;162.116;162.143;161.603;161.728;33.70;7.59;35.10;19.68;21.08;-0.424;SOFT_DOWN;-1;-70.6;-3;1
2026.07.14 12:15;162.211;162.229;162.124;162.129;28.97;8.76;25.66;18.21;24.74;-0.177;NEUTRE;0;-50.4;-2;1
2026.07.14 12:00;162.193;162.218;162.160;162.203;25.88;10.11;24.33;25.36;36.61;-0.131;NEUTRE;0;-42.4;-1;1
2026.07.14 11:45;162.211;162.214;162.180;162.193;23.50;11.66;22.77;30.65;53.34;-0.137;NEUTRE;0;-44.3;-1;1
2026.07.14 11:30;162.237;162.238;162.198;162.211;22.16;13.46;18.12;53.82;70.72;-0.126;NEUTRE;0;-42.5;-1;1
2026.07.14 11:15;162.239;162.257;162.220;162.237;23.29;15.53;12.45;75.57;79.36;-0.110;NEUTRE;0;-39.3;-1;1
2026.07.14 11:00;162.250;162.271;162.228;162.238;25.18;17.92;11.04;82.77;74.70;-0.110;NEUTRE;0;-39.9;-1;1
2026.07.14 10:45;162.239;162.258;162.230;162.250;25.41;16.02;12.74;79.73;60.38;-0.102;NEUTRE;0;-38.4;-1;1
2026.07.14 10:30;162.205;162.253;162.197;162.238;27.56;15.74;14.70;61.59;49.09;-0.110;NEUTRE;0;-41.2;-1;1
2026.07.14 10:15;162.208;162.216;162.188;162.204;31.27;7.99;16.96;39.82;45.16;-0.131;NEUTRE;0;-46.9;-2;1
