time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 18:00;52679.00000;52747.00000;52653.00000;52740.00000;13.93;19.54;15.40;39.50;48.35;0.091;NEUTRE;0;18.2;0;1
2026.07.14 17:00;52672.00000;52728.00000;52651.00000;52680.00000;14.25;19.44;17.77;46.50;58.99;-0.023;NEUTRE;0;-5;0;1
2026.07.14 16:00;52661.00000;52700.00000;52599.00000;52672.00000;15.76;16.83;20.51;59.05;67.63;-0.038;NEUTRE;0;-8.8;0;1
2026.07.14 15:00;52760.00000;52871.00000;52577.00000;52661.00000;16.67;19.42;23.66;71.41;69.25;-0.059;NEUTRE;0;-14.4;0;1
2026.07.14 14:00;52817.00000;52969.00000;52746.00000;52760.00000;17.72;22.41;18.46;72.42;60.21;0.129;NEUTRE;0;30.9;1;1
2026.07.14 13:00;52626.00000;52884.00000;52570.00000;52817.00000;18.95;19.99;21.30;63.91;47.52;0.237;NEUTRE;0;49.9;2;1
2026.07.14 12:00;52460.00000;52892.00000;52413.00000;52626.00000;21.38;23.07;24.58;44.30;33.60;-0.125;NEUTRE;0;-34.1;-1;1
2026.07.14 11:00;52579.00000;52603.00000;52253.00000;52460.00000;24.19;17.33;28.36;34.36;29.53;-0.440;SOFT_DOWN;-1;-69;-3;1
2026.07.14 10:00;52639.00000;52765.00000;52558.00000;52579.00000;24.19;20.00;19.31;22.15;28.34;-0.214;NEUTRE;0;-54.3;-2;1
2026.07.14 09:00;52581.00000;52666.00000;52561.00000;52639.00000;27.65;15.72;22.29;32.07;39.22;-0.101;NEUTRE;0;-36.1;-1;1
2026.07.14 08:00;52629.00000;52645.00000;52557.00000;52581.00000;29.24;15.06;25.71;30.81;50.94;-0.211;NEUTRE;0;-59.8;-2;1
2026.07.14 07:00;52633.00000;52692.00000;52567.00000;52629.00000;29.72;17.38;27.92;54.77;61.76;-0.120;NEUTRE;0;-48.1;-2;1
2026.07.14 06:00;52714.00000;52736.00000;52630.00000;52632.00000;30.72;20.05;24.46;67.23;55.24;-0.114;NEUTRE;0;-51;-2;0
2026.07.14 05:00;52680.00000;52742.00000;52672.00000;52714.00000;33.92;23.14;22.13;63.27;38.92;0.042;NEUTRE;0;28.6;1;0
2026.07.14 04:00;52595.00000;52687.00000;52575.00000;52680.00000;38.79;14.61;25.54;35.20;25.49;-0.023;NEUTRE;0;-20.5;0;0
2026.07.14 03:00;52584.00000;52606.00000;52557.00000;52594.00000;40.58;5.73;29.47;18.28;24.24;-0.186;NEUTRE;0;-76.1;-3;0
2026.07.14 02:00;52613.00000;52652.00000;52576.00000;52584.00000;36.44;6.61;28.03;22.97;28.55;-0.205;NEUTRE;0;-81.5;-3;0
2026.07.14 01:00;52643.00000;52675.00000;52599.00000;52613.00000;32.54;7.63;27.69;31.46;35.54;-0.150;NEUTRE;0;;;0
2026.07.14 00:00;52692.00000;52715.00000;52568.00000;52643.00000;28.81;8.80;31.95;31.22;43.79;-0.093;NEUTRE;0;;;0
2026.07.13 23:00;52691.00000;52692.00000;52637.00000;52691.00000;24.50;10.16;29.64;43.95;48.80;-0.214;NEUTRE;0;-31.2;-1;0
2026.07.13 22:00;52747.00000;52752.00000;52688.00000;52691.00000;20.74;11.72;19.94;56.19;45.34;-0.214;NEUTRE;0;-32.3;-1;0
2026.07.13 20:00;52762.00000;52762.00000;52676.00000;52724.00000;19.93;13.52;23.01;46.26;34.63;-0.152;NEUTRE;0;-26.3;-1;0
2026.07.13 19:00;52748.00000;52782.00000;52672.00000;52763.00000;19.01;15.60;26.55;33.57;24.70;-0.078;NEUTRE;0;-14.9;0;1
2026.07.13 18:00;52715.00000;52781.00000;52691.00000;52749.00000;17.94;18.01;27.97;24.05;18.31;-0.104;NEUTRE;0;-20.6;0;1
2026.07.13 17:00;52711.00000;52787.00000;52704.00000;52714.00000;17.36;20.78;30.05;16.49;21.82;-0.170;NEUTRE;0;-33;-1;1
2026.07.13 16:00;52751.00000;52766.00000;52601.00000;52708.00000;17.22;20.08;34.68;14.40;33.24;-0.182;NEUTRE;0;-36.5;-1;1
2026.07.13 15:00;52828.00000;52841.00000;52742.00000;52751.00000;15.77;23.17;26.87;34.58;48.64;-0.100;NEUTRE;0;-23.4;0;1
2026.07.13 14:00;53086.00000;53111.00000;52768.00000;52828.00000;17.06;26.73;26.96;50.73;53.28;0.045;NEUTRE;0;11.8;0;1
2026.07.13 13:00;52879.00000;53109.00000;52854.00000;53086.00000;19.62;30.85;27.25;60.60;57.66;0.534;SOFT_UP;1;69.5;3;1
2026.07.13 12:00;52842.00000;52881.00000;52803.00000;52879.00000;21.69;21.84;31.44;48.50;65.30;0.142;NEUTRE;0;37.6;1;1
