time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 16:00;29784.75;29876.25;29704.00;29827.00;22.09;22.12;17.15;83.57;71.18;1.385;STRONG_UP;2;76.6;3;1
2026.07.14 12:00;29631.50;29919.00;29566.75;29785.00;23.55;25.52;19.79;75.27;54.66;1.242;STRONG_UP;2;78.7;3;1
2026.07.14 08:00;29573.25;29669.25;29546.75;29632.00;25.22;18.54;22.84;54.71;35.44;0.722;SOFT_UP;1;77.1;3;1
2026.07.14 04:00;29423.25;29648.00;29371.00;29572.00;27.51;18.72;26.35;34.00;22.89;0.518;NEUTRE;0;80.9;3;0
2026.07.14 00:00;29419.50;29539.25;29302.25;29423.25;29.14;15.56;30.40;17.62;19.09;0.013;NEUTRE;0;;;0
2026.07.13 20:00;29465.50;29478.00;29326.25;29419.00;28.65;13.98;35.08;17.03;22.07;-1.579;STRONG_DOWN;-2;-75.3;-3;0
2026.07.13 16:00;29610.25;29637.25;29394.50;29465.00;26.44;16.13;33.56;22.61;23.69;-1.425;STRONG_DOWN;-2;-76.9;-3;1
2026.07.13 12:00;29740.00;29756.25;29489.25;29610.00;25.12;18.61;32.72;26.58;24.61;-0.940;SOFT_DOWN;-1;-75.2;-3;1
2026.07.13 08:00;29652.00;29798.25;29646.25;29739.75;24.76;21.48;28.70;21.89;32.96;-0.506;NEUTRE;0;-71.9;-3;1
2026.07.13 04:00;29687.25;29691.75;29542.00;29651.00;26.35;14.00;33.12;25.37;52.59;-0.803;SOFT_DOWN;-1;-84.1;-3;0
2026.07.13 00:00;29891.00;30039.50;29681.75;29687.00;24.16;16.16;23.86;51.63;74.66;-0.682;SOFT_DOWN;-1;;;0
2026.07.12 20:00;29951.25;29977.50;29843.50;29891.25;24.92;18.64;20.57;80.76;81.95;-0.200;NEUTRE;0;-25.8;-1;0
2026.07.10 20:00;30036.25;30067.50;30030.75;30065.25;28.00;21.51;10.74;91.60;73.05;0.448;NEUTRE;0;47.3;2;0
2026.07.10 16:00;29943.50;30074.75;29943.50;30036.75;27.17;24.82;12.40;73.48;61.71;0.352;NEUTRE;0;46.8;2;1
2026.07.10 12:00;29814.75;29989.75;29674.50;29943.50;26.21;18.68;14.30;54.08;62.05;0.041;NEUTRE;0;9.4;0;1
2026.07.10 08:00;29771.75;29886.25;29718.00;29814.00;28.21;16.50;16.51;57.58;73.79;-0.392;NEUTRE;0;-67.1;-3;1
2026.07.10 04:00;29931.50;29947.00;29762.00;29772.25;32.54;19.04;15.02;74.48;84.99;-0.531;SOFT_DOWN;-1;-81.2;-3;0
2026.07.10 00:00;29931.25;29962.00;29803.50;29931.50;35.74;21.97;13.88;89.30;91.15;0.001;NEUTRE;0;;;0
2026.07.09 20:00;29947.50;29972.50;29903.00;29931.50;37.76;25.35;6.36;91.20;92.85;1.302;STRONG_UP;2;72.4;3;0
